,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,179855.0,32162.0,91566.0,10128.0,118831.0,55450.0,161122.0,157144.0,18733.0,22711.0,63381.0,-59404.0
1,2022-08-16,172151.0,27991.0,87114.0,10957.0,115617.0,52236.0,154565.0,150307.0,17586.0,21844.0,63381.0,-59123.0
2,2022-08-09,168232.0,25175.0,82886.0,9105.0,113625.0,54214.0,147905.0,146204.0,20326.0,22027.0,59411.0,-57711.0
3,2022-08-02,183050.0,28589.0,85333.0,14306.0,121258.0,58575.0,164154.0,158215.0,18896.0,24835.0,62683.0,-56744.0
4,2022-07-26,172161.0,30521.0,77208.0,13152.0,108209.0,58192.0,151882.0,148552.0,20280.0,23609.0,50017.0,-46687.0
5,2022-07-19,168845.0,30451.0,73073.0,12161.0,107874.0,59040.0,150486.0,144273.0,18360.0,24572.0,48834.0,-42622.0
6,2022-07-12,170294.0,30848.0,72434.0,11115.0,110677.0,58500.0,152639.0,142049.0,17655.0,28246.0,52177.0,-41586.0
7,2022-07-05,171697.0,24961.0,73270.0,23456.0,103790.0,48023.0,152208.0,144749.0,19490.0,26948.0,55767.0,-48309.0
8,2022-06-28,158634.0,25604.0,67611.0,19999.0,92210.0,46218.0,137813.0,133827.0,20821.0,24807.0,45992.0,-42007.0
9,2022-06-21,153808.0,28604.0,68632.0,17345.0,88106.0,44262.0,134055.0,130238.0,19753.0,23570.0,43844.0,-40028.0
10,2022-06-14,156737.0,29907.0,75161.0,11897.0,92231.0,45923.0,134034.0,132981.0,22703.0,23756.0,46308.0,-45254.0
11,2022-06-07,178110.0,30091.0,78362.0,18683.0,104136.0,56772.0,152911.0,153817.0,25199.0,24292.0,47364.0,-48271.0
12,2022-05-31,173072.0,30485.0,79930.0,17045.0,104034.0,52652.0,151564.0,149627.0,21508.0,23445.0,51382.0,-49445.0
13,2022-05-24,175800.0,32870.0,78568.0,17947.0,104735.0,51919.0,155552.0,148434.0,20248.0,27366.0,52816.0,-45698.0
14,2022-05-17,179024.0,38804.0,84795.0,14660.0,104776.0,49498.0,158240.0,148953.0,20784.0,30071.0,55278.0,-45991.0
15,2022-05-10,167367.0,34797.0,79801.0,12582.0,98273.0,48394.0,145652.0,140777.0,21715.0,26591.0,49879.0,-45004.0
16,2022-05-03,170548.0,44308.0,76293.0,14812.0,88499.0,51600.0,147619.0,142705.0,22929.0,27843.0,36899.0,-31985.0
17,2022-04-26,162144.0,45623.0,75635.0,9136.0,82449.0,51949.0,137208.0,136720.0,24935.0,25423.0,30500.0,-30012.0
18,2022-04-19,158463.0,40030.0,68491.0,6425.0,82541.0,62470.0,128996.0,137386.0,29467.0,21077.0,20071.0,-28461.0
19,2022-04-12,162128.0,40929.0,69047.0,6639.0,84221.0,67308.0,131789.0,142994.0,30339.0,19134.0,16913.0,-28118.0
20,2022-04-05,164818.0,36680.0,71923.0,10646.0,83802.0,63893.0,131128.0,146461.0,33690.0,18357.0,19909.0,-35243.0
21,2022-03-29,157151.0,35244.0,84246.0,8776.0,84818.0,45089.0,128837.0,138111.0,28314.0,19039.0,39729.0,-49002.0
22,2022-03-22,139939.0,24451.0,75246.0,9246.0,79511.0,31836.0,113208.0,116328.0,26731.0,23611.0,47675.0,-50795.0
23,2022-03-15,135800.0,24392.0,73509.0,6745.0,84206.0,31420.0,115343.0,111674.0,20456.0,24125.0,52786.0,-49117.0
24,2022-03-08,208251.0,19491.0,100568.0,10162.0,151934.0,70966.0,181587.0,181696.0,26664.0,26555.0,80968.0,-81077.0
25,2022-03-01,206657.0,12951.0,94998.0,11183.0,161040.0,69839.0,185174.0,176021.0,21483.0,30636.0,91201.0,-82047.0
26,2022-02-22,208683.0,11783.0,99740.0,10723.0,165883.0,66478.0,188388.0,176941.0,20294.0,31742.0,99405.0,-87957.0
27,2022-02-15,208603.0,11809.0,103729.0,10362.0,165279.0,62653.0,187450.0,176744.0,21153.0,31859.0,102626.0,-91920.0
28,2022-02-08,211027.0,16129.0,107764.0,10098.0,164032.0,60165.0,190259.0,178027.0,20768.0,33000.0,103867.0,-91635.0
29,2022-02-01,216436.0,14774.0,103042.0,14769.0,167071.0,63199.0,196615.0,181010.0,19821.0,35426.0,103872.0,-88268.0
30,2022-01-25,205520.0,13124.0,103098.0,11646.0,162891.0,59266.0,187660.0,174009.0,17860.0,31511.0,103625.0,-89974.0
31,2022-01-18,192254.0,8166.0,100493.0,8749.0,155162.0,53448.0,172077.0,162690.0,20177.0,29564.0,101714.0,-92327.0
32,2022-01-11,194200.0,11533.0,106225.0,7929.0,155364.0,48903.0,174826.0,163057.0,19374.0,31143.0,106461.0,-94692.0
33,2022-01-04,193233.0,9400.0,104216.0,10233.0,154009.0,48665.0,173643.0,163114.0,19590.0,30119.0,105344.0,-94816.0
34,2021-12-28,195550.0,15021.0,100565.0,8642.0,153790.0,51124.0,177453.0,160331.0,18097.0,35219.0,102666.0,-85544.0
35,2021-12-21,202898.0,21074.0,105320.0,8898.0,155690.0,54297.0,185663.0,168515.0,17235.0,34383.0,101393.0,-84246.0
