,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,168859.0,51303.0,31653.0,11388.0,70259.0,97398.0,132950.0,140439.0,35909.0,28421.0,-27139.0,19650.0
1,2022-08-16,161589.0,50381.0,26041.0,10763.0,65761.0,96348.0,126904.0,133152.0,34685.0,28437.0,-30587.0,24340.0
2,2022-08-09,158487.0,45289.0,26679.0,10081.0,67896.0,95909.0,123267.0,132669.0,35221.0,25818.0,-28013.0,18610.0
3,2022-08-02,162681.0,47579.0,29104.0,10153.0,67952.0,97526.0,125683.0,136783.0,36997.0,25897.0,-29574.0,18475.0
4,2022-07-26,162526.0,45722.0,31750.0,9801.0,71594.0,92908.0,127117.0,134459.0,35409.0,28067.0,-21314.0,13972.0
5,2022-07-19,161370.0,41614.0,37130.0,9107.0,77479.0,84930.0,128200.0,131167.0,33170.0,30203.0,-7451.0,4484.0
6,2022-07-12,159271.0,41527.0,40762.0,8329.0,75895.0,78674.0,125751.0,127765.0,33520.0,31506.0,-2779.0,765.0
7,2022-07-05,168871.0,44621.0,43798.0,10056.0,81734.0,84019.0,136411.0,137873.0,32460.0,30998.0,-2285.0,823.0
8,2022-06-28,160661.0,45241.0,38557.0,8418.0,75902.0,86647.0,129561.0,133622.0,31100.0,27039.0,-10745.0,6684.0
9,2022-06-21,160526.0,41490.0,39774.0,9173.0,78698.0,84329.0,129361.0,133276.0,31165.0,27250.0,-5631.0,1716.0
10,2022-06-14,196710.0,56693.0,36736.0,16714.0,91905.0,120265.0,165311.0,173715.0,31398.0,22995.0,-28360.0,19957.0
11,2022-06-07,181454.0,40175.0,40974.0,21917.0,80137.0,94635.0,142229.0,157525.0,39225.0,23929.0,-14498.0,-799.0
12,2022-05-31,150342.0,30877.0,37897.0,9242.0,75729.0,76961.0,115847.0,124099.0,34495.0,26243.0,-1232.0,-7020.0
13,2022-05-24,156272.0,28891.0,43756.0,10045.0,83318.0,75351.0,122253.0,129152.0,34019.0,27120.0,7967.0,-14865.0
14,2022-05-17,169337.0,35957.0,52318.0,11850.0,88140.0,74775.0,135947.0,138942.0,33390.0,30396.0,13365.0,-16361.0
15,2022-05-10,176357.0,38415.0,48138.0,14217.0,88455.0,82559.0,141087.0,144914.0,35271.0,31444.0,5896.0,-9723.0
16,2022-05-03,172910.0,43306.0,38034.0,10865.0,84112.0,94860.0,138283.0,143759.0,34627.0,29151.0,-10748.0,5272.0
17,2022-04-26,172517.0,47864.0,29826.0,9817.0,79644.0,108734.0,137324.0,148377.0,35193.0,24140.0,-29090.0,18038.0
18,2022-04-19,165328.0,44084.0,23301.0,7158.0,74260.0,114582.0,125503.0,145042.0,39825.0,20286.0,-40322.0,20783.0
19,2022-04-12,168128.0,37800.0,26072.0,6975.0,82485.0,116860.0,127261.0,149906.0,40867.0,18222.0,-34375.0,11728.0
20,2022-04-05,171774.0,37469.0,30010.0,7426.0,83781.0,115749.0,128677.0,153185.0,43097.0,18589.0,-31968.0,7459.0
21,2022-03-29,162447.0,32546.0,33963.0,7526.0,83426.0,100269.0,123499.0,141759.0,38948.0,20688.0,-16843.0,-1417.0
22,2022-03-22,138587.0,29477.0,35626.0,7122.0,66713.0,74153.0,103312.0,116901.0,35275.0,21686.0,-7440.0,-6149.0
23,2022-03-15,158515.0,47667.0,31420.0,12490.0,67290.0,80072.0,127447.0,123982.0,31068.0,34533.0,-12782.0,16247.0
24,2022-03-08,167107.0,48702.0,43527.0,9939.0,72490.0,86806.0,131131.0,140272.0,35977.0,26835.0,-14316.0,5175.0
25,2022-03-01,158363.0,51037.0,37350.0,9614.0,64971.0,87184.0,125622.0,134148.0,32740.0,24214.0,-22213.0,13687.0
26,2022-02-22,154395.0,47816.0,38686.0,9086.0,65245.0,80494.0,122147.0,128267.0,32248.0,26128.0,-15249.0,9130.0
27,2022-02-15,158502.0,54575.0,42553.0,8410.0,65019.0,81429.0,128005.0,132392.0,30497.0,26110.0,-16410.0,12022.0
28,2022-02-08,158943.0,55033.0,40818.0,9266.0,65033.0,82766.0,129331.0,132850.0,29612.0,26093.0,-17733.0,14215.0
29,2022-02-01,162540.0,52921.0,36444.0,9808.0,66292.0,91580.0,129022.0,137832.0,33518.0,24708.0,-25288.0,16477.0
30,2022-01-25,164042.0,53198.0,42037.0,11430.0,65775.0,85639.0,130402.0,139105.0,33640.0,24937.0,-19864.0,11161.0
31,2022-01-18,161985.0,50340.0,42920.0,11126.0,67061.0,81790.0,128527.0,135836.0,33458.0,26149.0,-14729.0,7420.0
32,2022-01-11,155622.0,45218.0,52359.0,10841.0,66876.0,66174.0,122935.0,129374.0,32687.0,26248.0,702.0,-7141.0
