,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,46312.0,10129.0,11946.0,1498.0,25687.0,11537.0,37314.0,24981.0,8998.0,21331.0,14150.0,-1817.0
1,2022-08-16,42903.0,8528.0,12689.0,1218.0,23274.0,10626.0,33020.0,24533.0,9883.0,18370.0,12648.0,-4161.0
2,2022-08-09,46644.0,8875.0,17850.0,1664.0,26631.0,8001.0,37171.0,27515.0,9474.0,19129.0,18630.0,-8975.0
3,2022-08-02,48538.0,8290.0,21030.0,1324.0,30407.0,7721.0,40021.0,30075.0,8518.0,18464.0,22686.0,-12740.0
4,2022-07-26,46722.0,8210.0,19118.0,1214.0,28578.0,8388.0,38001.0,28719.0,8720.0,18003.0,20190.0,-10908.0
5,2022-07-19,44254.0,7095.0,17630.0,975.0,26274.0,7483.0,34344.0,26088.0,9910.0,18167.0,18791.0,-10535.0
6,2022-07-12,42613.0,7131.0,15741.0,475.0,26859.0,7053.0,34465.0,23269.0,8148.0,19344.0,19806.0,-8610.0
7,2022-07-05,41736.0,3774.0,13353.0,1091.0,28194.0,8694.0,33059.0,23137.0,8677.0,18599.0,19500.0,-9579.0
8,2022-06-28,43254.0,4622.0,12815.0,1440.0,27541.0,10088.0,33602.0,24342.0,9652.0,18912.0,17453.0,-8193.0
9,2022-06-21,40671.0,3469.0,10225.0,1027.0,26429.0,11902.0,30926.0,23154.0,9746.0,17517.0,14527.0,-6756.0
10,2022-06-14,41940.0,4256.0,10744.0,1076.0,27477.0,9697.0,32810.0,21517.0,9130.0,20423.0,17780.0,-6488.0
11,2022-06-07,52503.0,2891.0,18741.0,4240.0,35929.0,9023.0,43060.0,32004.0,9443.0,20499.0,26906.0,-15850.0
12,2022-05-31,53133.0,2940.0,23111.0,2510.0,39025.0,9374.0,44476.0,34996.0,8657.0,18137.0,29651.0,-20171.0
13,2022-05-24,52675.0,1641.0,21061.0,1919.0,40744.0,9227.0,44304.0,32207.0,8371.0,20468.0,31517.0,-19420.0
14,2022-05-17,55358.0,5526.0,21855.0,1321.0,40316.0,9402.0,47163.0,32578.0,8195.0,22780.0,30914.0,-16329.0
15,2022-05-10,53055.0,4711.0,20506.0,1097.0,38892.0,9020.0,44699.0,30624.0,8356.0,22432.0,29872.0,-15795.0
16,2022-05-03,54232.0,5520.0,21163.0,1162.0,39364.0,7425.0,46047.0,29750.0,8186.0,24482.0,31939.0,-15643.0
17,2022-04-26,51435.0,4875.0,19287.0,1408.0,34799.0,7857.0,41082.0,28552.0,10353.0,22883.0,26942.0,-14412.0
18,2022-04-19,47387.0,2968.0,15543.0,1205.0,33133.0,9152.0,37307.0,25900.0,10080.0,21487.0,23981.0,-12575.0
19,2022-04-12,42576.0,1642.0,16115.0,450.0,31581.0,8758.0,33673.0,25323.0,8902.0,17252.0,22823.0,-14473.0
20,2022-04-05,41675.0,1759.0,15199.0,377.0,30807.0,8890.0,32943.0,24466.0,8732.0,17209.0,21917.0,-13440.0
21,2022-03-29,46231.0,3292.0,15994.0,496.0,33875.0,9440.0,37662.0,25930.0,8568.0,20300.0,24435.0,-12702.0
22,2022-03-22,47027.0,6037.0,15625.0,618.0,32186.0,10417.0,38841.0,26660.0,8186.0,20367.0,21769.0,-9588.0
23,2022-03-15,45615.0,5808.0,12195.0,554.0,30177.0,11610.0,36539.0,24359.0,9077.0,21256.0,18567.0,-6387.0
24,2022-03-08,53276.0,4856.0,15383.0,1563.0,37709.0,14951.0,44128.0,31897.0,9148.0,21379.0,22758.0,-10527.0
25,2022-03-01,50296.0,1651.0,16852.0,2320.0,35844.0,15257.0,39815.0,34429.0,10481.0,15867.0,20587.0,-15201.0
26,2022-02-22,50647.0,3785.0,15157.0,1949.0,35139.0,15627.0,40873.0,32733.0,9774.0,17914.0,19512.0,-11372.0
27,2022-02-15,49862.0,3668.0,14143.0,2750.0,34697.0,15038.0,41115.0,31931.0,8747.0,17931.0,19659.0,-10475.0
28,2022-02-08,45522.0,1242.0,11576.0,2548.0,31514.0,13873.0,35305.0,27997.0,10216.0,17524.0,17641.0,-10334.0
29,2022-02-01,45980.0,606.0,10800.0,2442.0,32682.0,14238.0,35730.0,27480.0,10250.0,18500.0,18444.0,-10194.0
