,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,80925.0,25475.0,30086.0,1169.0,41978.0,37056.0,68622.0,68311.0,12303.0,12614.0,4922.0,-4611.0
1,2022-08-16,81321.0,23160.0,30178.0,944.0,43886.0,34443.0,67990.0,65564.0,13331.0,15757.0,9443.0,-7018.0
2,2022-08-09,75500.0,20007.0,32718.0,537.0,44551.0,27384.0,65095.0,60638.0,10405.0,14862.0,17167.0,-12711.0
3,2022-08-02,72729.0,16175.0,34592.0,838.0,45406.0,22474.0,62419.0,57904.0,10311.0,14825.0,22932.0,-18417.0
4,2022-07-26,73459.0,15952.0,37140.0,475.0,46925.0,19841.0,63351.0,57456.0,10107.0,16003.0,27084.0,-21188.0
5,2022-07-19,71386.0,17570.0,33381.0,711.0,42690.0,21714.0,60972.0,55806.0,10414.0,15579.0,20976.0,-15811.0
6,2022-07-12,67433.0,13647.0,33517.0,638.0,43247.0,17635.0,57532.0,51790.0,9901.0,15643.0,25612.0,-19870.0
7,2022-07-05,67554.0,11062.0,34136.0,614.0,45446.0,17920.0,57123.0,52670.0,10431.0,14884.0,27526.0,-23074.0
8,2022-06-28,66921.0,9005.0,34084.0,767.0,47111.0,17484.0,56883.0,52335.0,10039.0,14586.0,29627.0,-25079.0
9,2022-06-21,69139.0,10323.0,35804.0,152.0,48185.0,19281.0,58660.0,55237.0,10479.0,13902.0,28904.0,-25481.0
10,2022-06-14,94463.0,14414.0,36386.0,4638.0,61997.0,37984.0,81049.0,79008.0,13414.0,15455.0,24013.0,-21972.0
11,2022-06-07,80883.0,15131.0,35461.0,1133.0,53761.0,27333.0,70025.0,63927.0,10858.0,16956.0,26428.0,-20330.0
12,2022-05-31,84963.0,14187.0,40201.0,713.0,58893.0,29230.0,73794.0,70144.0,11169.0,14819.0,29663.0,-26014.0
13,2022-05-24,83442.0,15355.0,39296.0,414.0,55833.0,29702.0,71601.0,69412.0,11841.0,14031.0,26131.0,-23941.0
14,2022-05-17,80584.0,14538.0,37943.0,571.0,53348.0,27740.0,68457.0,66254.0,12127.0,14331.0,25608.0,-23405.0
15,2022-05-10,83323.0,13259.0,36318.0,252.0,55952.0,32486.0,69462.0,69056.0,13860.0,14267.0,23466.0,-23059.0
16,2022-05-03,79770.0,13075.0,32204.0,1301.0,52598.0,33614.0,66974.0,67119.0,12796.0,12651.0,18984.0,-19129.0
17,2022-04-26,84782.0,12810.0,34535.0,825.0,57297.0,35356.0,70932.0,70716.0,13850.0,14066.0,21941.0,-21725.0
18,2022-04-19,77861.0,15559.0,30313.0,1981.0,47389.0,31162.0,64930.0,63456.0,12931.0,14405.0,16227.0,-14754.0
19,2022-04-12,71425.0,8922.0,31821.0,465.0,50196.0,26626.0,59583.0,58912.0,11842.0,12513.0,23570.0,-22899.0
20,2022-04-05,66931.0,10163.0,27829.0,1078.0,43927.0,25998.0,55167.0,54905.0,11764.0,12027.0,17929.0,-17666.0
21,2022-03-29,65538.0,7794.0,27181.0,254.0,45817.0,25402.0,53865.0,52837.0,11673.0,12701.0,20415.0,-19387.0
22,2022-03-22,63277.0,10848.0,25662.0,407.0,40002.0,24469.0,51256.0,50538.0,12021.0,12739.0,15533.0,-14814.0
23,2022-03-15,93137.0,15163.0,27355.0,3909.0,60218.0,46081.0,79291.0,77345.0,13846.0,15792.0,14137.0,-12192.0
24,2022-03-08,78066.0,17236.0,29361.0,817.0,48055.0,34514.0,66108.0,64692.0,11958.0,13375.0,13541.0,-12125.0
25,2022-03-01,78523.0,17347.0,32881.0,784.0,46027.0,30842.0,64158.0,64508.0,14365.0,14016.0,15185.0,-15534.0
26,2022-02-22,79959.0,18316.0,31722.0,2388.0,44340.0,33861.0,65044.0,67971.0,14914.0,11987.0,10479.0,-13406.0
27,2022-02-15,81726.0,21104.0,30455.0,1887.0,44004.0,36736.0,66995.0,69078.0,14731.0,12648.0,7268.0,-9351.0
28,2022-02-08,83085.0,24079.0,30920.0,1866.0,42647.0,37034.0,68592.0,69820.0,14494.0,13266.0,5613.0,-6841.0
29,2022-02-01,87668.0,24522.0,34033.0,1367.0,47251.0,39836.0,73140.0,75236.0,14528.0,12432.0,7415.0,-9511.0
30,2022-01-25,92938.0,25953.0,36202.0,1529.0,49642.0,43648.0,77124.0,81379.0,15813.0,11559.0,5994.0,-10249.0
31,2022-01-18,94943.0,24644.0,34968.0,1759.0,51771.0,46927.0,78174.0,83654.0,16769.0,11289.0,4844.0,-10324.0
32,2022-01-11,93399.0,32481.0,35206.0,1071.0,44595.0,44955.0,78147.0,81232.0,15251.0,12167.0,-360.0,-2725.0
33,2022-01-04,101994.0,42004.0,34649.0,753.0,43755.0,52924.0,86512.0,88326.0,15482.0,13668.0,-9169.0,7355.0
34,2021-12-28,96952.0,35695.0,36774.0,609.0,45969.0,47892.0,82273.0,85275.0,14679.0,11677.0,-1923.0,-1079.0
35,2021-12-21,91593.0,27402.0,36627.0,643.0,47358.0,42569.0,75403.0,79839.0,16190.0,11754.0,4789.0,-9225.0
36,2021-12-14,121344.0,31074.0,37799.0,4948.0,65997.0,62182.0,102019.0,104929.0,19325.0,16415.0,3815.0,-6725.0
37,2021-12-07,104015.0,37729.0,42238.0,907.0,48978.0,45533.0,87614.0,88677.0,16401.0,15337.0,3445.0,-4509.0
38,2021-11-30,102473.0,33994.0,40919.0,1653.0,48964.0,46487.0,84610.0,89059.0,17863.0,13414.0,2477.0,-6925.0
39,2021-11-23,106694.0,39082.0,41212.0,1147.0,46695.0,52069.0,86924.0,94428.0,19770.0,12266.0,-5374.0,-2130.0
40,2021-11-16,104399.0,36642.0,40781.0,2552.0,47535.0,47916.0,86730.0,91249.0,17670.0,13150.0,-381.0,-4139.0
41,2021-11-09,104158.0,36629.0,37864.0,2837.0,46068.0,49138.0,85533.0,89839.0,18625.0,14319.0,-3070.0,-1235.0
42,2021-11-02,114620.0,46004.0,40778.0,2025.0,48213.0,57153.0,96242.0,99956.0,18379.0,14664.0,-8940.0,5226.0
43,2021-10-26,109760.0,41609.0,39881.0,2195.0,48401.0,53602.0,92205.0,95678.0,17554.0,14082.0,-5201.0,1728.0
44,2021-10-19,106500.0,40137.0,36474.0,2585.0,46167.0,54355.0,88888.0,93414.0,17611.0,13086.0,-8188.0,3663.0
45,2021-10-12,102468.0,32161.0,36466.0,2122.0,49556.0,52716.0,83839.0,91305.0,18629.0,11164.0,-3160.0,-4305.0
46,2021-10-05,96616.0,29269.0,35465.0,1963.0,47776.0,46790.0,79008.0,84217.0,17608.0,12399.0,986.0,-6196.0
47,2021-09-28,98840.0,29661.0,37364.0,1817.0,49924.0,47945.0,81402.0,87126.0,17438.0,11713.0,1979.0,-7703.0
48,2021-09-21,96157.0,24699.0,41575.0,2225.0,50954.0,41065.0,77878.0,84865.0,18279.0,11291.0,9889.0,-16876.0
49,2021-09-14,121467.0,32138.0,44113.0,5346.0,62179.0,60280.0,99662.0,109739.0,21804.0,11728.0,1899.0,-11975.0
50,2021-09-07,107090.0,34474.0,44696.0,3234.0,49570.0,47775.0,87278.0,95705.0,19812.0,11385.0,1795.0,-10222.0
51,2021-08-31,109550.0,43816.0,46393.0,882.0,46415.0,51113.0,91114.0,98388.0,18436.0,11162.0,-4698.0,-2577.0
52,2021-08-24,107961.0,43669.0,45092.0,1012.0,45254.0,50738.0,89935.0,96843.0,18026.0,11119.0,-5484.0,-1423.0
53,2021-08-17,108194.0,42229.0,46196.0,2242.0,46252.0,47309.0,90723.0,95748.0,17471.0,12446.0,-1057.0,-3967.0
54,2021-08-10,114999.0,46869.0,44005.0,2907.0,47513.0,54799.0,97289.0,101711.0,17710.0,13288.0,-7286.0,2864.0
55,2021-08-03,111051.0,48375.0,41826.0,2282.0,42252.0,54503.0,92910.0,98611.0,18141.0,12439.0,-12251.0,6549.0
56,2021-07-27,102780.0,40523.0,40939.0,1794.0,42668.0,47460.0,84984.0,90194.0,17796.0,12587.0,-4792.0,-416.0
57,2021-07-20,102925.0,37797.0,41771.0,3394.0,45377.0,45775.0,86567.0,90940.0,16358.0,11985.0,-398.0,-3974.0
58,2021-07-13,111912.0,46674.0,37467.0,1935.0,44544.0,61202.0,93154.0,100605.0,18759.0,11308.0,-16658.0,9207.0
59,2021-07-06,106199.0,40051.0,33736.0,2581.0,46402.0,59081.0,89034.0,95398.0,17166.0,10801.0,-12679.0,6315.0
60,2021-06-29,105852.0,38635.0,39513.0,2235.0,46936.0,53747.0,87806.0,95494.0,18046.0,10357.0,-6811.0,-878.0
61,2021-06-22,102817.0,27786.0,43008.0,4780.0,52365.0,44133.0,84931.0,91921.0,17886.0,10896.0,8232.0,-15222.0
62,2021-06-15,119841.0,30538.0,40744.0,8401.0,56574.0,57951.0,95513.0,107096.0,24328.0,12745.0,-1377.0,-10206.0
63,2021-06-08,106685.0,33007.0,41916.0,6706.0,47738.0,46927.0,87451.0,95549.0,19235.0,11136.0,811.0,-8909.0
64,2021-06-01,103654.0,34179.0,44045.0,2635.0,48410.0,45208.0,85224.0,91887.0,18430.0,11766.0,3202.0,-9866.0
65,2021-05-25,99237.0,31294.0,44453.0,2283.0,47739.0,41446.0,81315.0,88182.0,17922.0,11056.0,6293.0,-13159.0
66,2021-05-18,96169.0,29832.0,38951.0,2766.0,45260.0,42653.0,77858.0,84370.0,18311.0,11799.0,2607.0,-9119.0
67,2021-05-11,99016.0,30903.0,38342.0,3125.0,46003.0,44885.0,80031.0,86352.0,18985.0,12664.0,1118.0,-7439.0
68,2021-05-04,92287.0,27914.0,33243.0,2570.0,42485.0,43381.0,72969.0,79194.0,19319.0,13093.0,-896.0,-5329.0
69,2021-04-27,91490.0,25503.0,33603.0,2842.0,42891.0,43490.0,71236.0,79936.0,20253.0,11554.0,-599.0,-8100.0
70,2021-04-20,91520.0,25044.0,33986.0,3086.0,41991.0,42670.0,70121.0,79743.0,21399.0,11778.0,-679.0,-8942.0
71,2021-04-13,92462.0,27017.0,38481.0,2905.0,41332.0,39076.0,71254.0,80461.0,21209.0,12001.0,2256.0,-11464.0
72,2021-04-06,94565.0,26584.0,38716.0,3132.0,44467.0,40234.0,74183.0,82082.0,20382.0,12483.0,4233.0,-12132.0
73,2021-03-30,89718.0,22387.0,36991.0,2318.0,46480.0,37902.0,71185.0,77211.0,18533.0,12508.0,8578.0,-14604.0
74,2021-03-23,91108.0,21419.0,35284.0,2917.0,48111.0,40570.0,72447.0,78771.0,18661.0,12337.0,7541.0,-13865.0
75,2021-03-16,109207.0,18728.0,37393.0,3682.0,67369.0,53829.0,89778.0,94904.0,19429.0,14303.0,13540.0,-18665.0
76,2021-03-09,93124.0,16309.0,40583.0,1443.0,58046.0,38110.0,75798.0,80136.0,17326.0,12988.0,19936.0,-24274.0
77,2021-03-02,89736.0,19884.0,40681.0,3095.0,49583.0,33925.0,72562.0,77701.0,17174.0,12035.0,15658.0,-20797.0
78,2021-02-23,92383.0,29579.0,36226.0,1901.0,42906.0,41874.0,74386.0,80001.0,17997.0,12382.0,1032.0,-6647.0
79,2021-02-16,94209.0,29761.0,37181.0,1926.0,44127.0,41844.0,75815.0,80951.0,18395.0,13258.0,2283.0,-7420.0
80,2021-02-09,99981.0,35039.0,38812.0,2016.0,44339.0,45891.0,81394.0,86719.0,18588.0,13262.0,-1552.0,-3773.0
81,2021-02-02,100128.0,33379.0,39048.0,2182.0,45617.0,46303.0,81178.0,87534.0,18950.0,12594.0,-686.0,-5669.0
82,2021-01-26,89819.0,22981.0,38248.0,2845.0,47670.0,36980.0,73497.0,78073.0,16322.0,11746.0,10690.0,-15267.0
83,2021-01-19,86946.0,22283.0,35984.0,2040.0,45520.0,37785.0,69843.0,75809.0,17104.0,11137.0,7735.0,-13701.0
84,2021-01-12,84513.0,24289.0,36598.0,1504.0,40468.0,33906.0,66261.0,72007.0,18252.0,12506.0,6562.0,-12309.0
85,2021-01-05,81441.0,24124.0,36738.0,1157.0,38940.0,32608.0,64221.0,70503.0,17220.0,10938.0,6332.0,-12614.0
86,2020-12-29,82093.0,23819.0,36291.0,1576.0,39730.0,32946.0,65125.0,70812.0,16968.0,11281.0,6784.0,-12472.0
87,2020-12-21,81788.0,23437.0,36434.0,1952.0,40749.0,29987.0,66138.0,68373.0,15650.0,13416.0,10762.0,-12997.0
88,2020-12-15,107562.0,21642.0,39183.0,2263.0,64158.0,51487.0,88063.0,92933.0,19499.0,14629.0,12671.0,-17541.0
89,2020-12-08,103081.0,25168.0,37739.0,1233.0,59173.0,48541.0,85573.0,87512.0,17508.0,15569.0,10632.0,-12571.0
90,2020-12-01,94425.0,21133.0,37305.0,1452.0,53155.0,43216.0,75741.0,81973.0,18684.0,12452.0,9939.0,-16172.0
91,2020-11-24,99074.0,26185.0,35769.0,2863.0,52449.0,47900.0,81497.0,86532.0,17577.0,12543.0,4549.0,-9584.0
92,2020-11-17,96503.0,29969.0,34615.0,576.0,48903.0,48191.0,79448.0,83382.0,17055.0,13121.0,712.0,-4646.0
93,2020-11-10,94180.0,33333.0,34201.0,690.0,44217.0,47835.0,78240.0,82726.0,15939.0,11454.0,-3618.0,-868.0
94,2020-11-03,89590.0,28656.0,32138.0,1053.0,44114.0,45272.0,73823.0,78463.0,15766.0,11127.0,-1158.0,-3482.0
95,2020-10-27,97570.0,37634.0,34995.0,1165.0,40211.0,50089.0,79010.0,86249.0,18560.0,11321.0,-9878.0,2639.0
96,2020-10-20,95389.0,41468.0,35069.0,604.0,37026.0,49034.0,79098.0,84707.0,16292.0,10682.0,-12008.0,6399.0
97,2020-10-13,90304.0,34275.0,33675.0,618.0,39908.0,43025.0,74800.0,77318.0,15504.0,12986.0,-3117.0,600.0
98,2020-10-06,86082.0,33409.0,34717.0,1003.0,37055.0,39112.0,71467.0,74832.0,14615.0,11250.0,-2057.0,-1308.0
99,2020-09-29,74379.0,23645.0,34739.0,1277.0,34283.0,27251.0,59204.0,63267.0,15175.0,11112.0,7032.0,-11094.0
100,2020-09-22,70070.0,17407.0,34691.0,1021.0,35981.0,22116.0,54408.0,57828.0,15662.0,12242.0,13865.0,-17284.0
101,2020-09-15,88713.0,19929.0,35751.0,2850.0,48996.0,38306.0,71775.0,76907.0,16938.0,11806.0,10690.0,-15822.0
102,2020-09-08,73984.0,18932.0,35094.0,1381.0,37555.0,25667.0,57867.0,62142.0,16117.0,11842.0,11888.0,-16162.0
103,2020-09-01,82555.0,24269.0,32970.0,2517.0,38975.0,33344.0,65761.0,68832.0,16794.0,13724.0,5631.0,-8701.0
104,2020-08-25,84951.0,25865.0,34659.0,1594.0,41037.0,35257.0,68497.0,71510.0,16455.0,13441.0,5780.0,-8794.0
105,2020-08-18,93142.0,31952.0,35093.0,1260.0,44073.0,43381.0,77284.0,79734.0,15857.0,13408.0,692.0,-3141.0
106,2020-08-11,95473.0,33664.0,36795.0,653.0,46084.0,43576.0,80401.0,81024.0,15072.0,14450.0,2508.0,-3131.0
107,2020-08-04,90876.0,32487.0,38856.0,360.0,43551.0,36850.0,76399.0,76066.0,14478.0,14810.0,6701.0,-6369.0
108,2020-07-28,82777.0,27855.0,34130.0,354.0,39840.0,32952.0,68050.0,67436.0,14727.0,15340.0,6888.0,-6275.0
109,2020-07-21,79959.0,26638.0,35320.0,488.0,39502.0,28474.0,66629.0,64282.0,13331.0,15677.0,11028.0,-8682.0
110,2020-07-14,80600.0,28419.0,35724.0,816.0,38690.0,28324.0,67924.0,64863.0,12676.0,15736.0,10366.0,-7305.0
111,2020-07-07,72171.0,15248.0,37099.0,1741.0,42454.0,18728.0,59444.0,57568.0,12727.0,14603.0,23726.0,-21851.0
112,2020-06-30,75290.0,13911.0,39737.0,1953.0,46463.0,17616.0,62327.0,59306.0,12963.0,15984.0,28847.0,-25826.0
113,2020-06-23,73620.0,13693.0,42379.0,1671.0,46239.0,15663.0,61603.0,59712.0,12018.0,13908.0,30576.0,-28686.0
114,2020-06-16,93750.0,12815.0,41547.0,5039.0,62147.0,31851.0,80002.0,78437.0,13748.0,15313.0,30296.0,-28732.0
115,2020-06-09,80647.0,16315.0,30399.0,1928.0,48600.0,31650.0,66843.0,63977.0,13804.0,16669.0,16950.0,-14084.0
116,2020-06-02,78928.0,14220.0,31885.0,2032.0,50540.0,27953.0,66792.0,61871.0,12136.0,17057.0,22587.0,-17665.0
117,2020-05-26,78288.0,12463.0,26834.0,2525.0,51448.0,29793.0,66437.0,59153.0,11850.0,19134.0,21655.0,-14371.0
118,2020-05-19,74304.0,10913.0,26786.0,1532.0,50171.0,27249.0,62616.0,55567.0,11688.0,18737.0,22922.0,-15873.0
119,2020-05-12,70151.0,12508.0,29168.0,1127.0,45244.0,23216.0,58879.0,53511.0,11272.0,16640.0,22028.0,-16660.0
120,2020-05-05,66988.0,12540.0,28878.0,617.0,42784.0,20888.0,55941.0,50383.0,11047.0,16605.0,21896.0,-16338.0
121,2020-04-28,68042.0,12426.0,25468.0,1796.0,43541.0,24186.0,57763.0,51450.0,10279.0,16592.0,19355.0,-13042.0
122,2020-04-21,62146.0,12677.0,24016.0,733.0,39093.0,21987.0,52504.0,46736.0,9643.0,15410.0,17106.0,-11339.0
123,2020-04-14,61048.0,12339.0,20391.0,878.0,37534.0,23969.0,50751.0,45238.0,10298.0,15810.0,13565.0,-8052.0
124,2020-04-07,54670.0,11176.0,17479.0,699.0,33221.0,21632.0,45096.0,39809.0,9574.0,14861.0,11589.0,-6303.0
125,2020-03-31,57067.0,7230.0,17078.0,437.0,38647.0,27034.0,46313.0,44549.0,10754.0,12518.0,11613.0,-9848.0
126,2020-03-24,50802.0,8536.0,6116.0,1197.0,28300.0,33685.0,38034.0,40998.0,12768.0,9804.0,-5385.0,2420.0
127,2020-03-17,84069.0,14677.0,5813.0,1884.0,53344.0,63298.0,69905.0,70994.0,14164.0,13075.0,-9954.0,8864.0
128,2020-03-10,86617.0,22950.0,7201.0,3692.0,45310.0,63802.0,71952.0,74695.0,14665.0,11923.0,-18492.0,15749.0
129,2020-03-03,90786.0,24879.0,10617.0,4592.0,45982.0,63283.0,75453.0,78492.0,15333.0,12294.0,-17301.0,14262.0
130,2020-02-25,102319.0,36591.0,10306.0,7591.0,37715.0,71245.0,81897.0,89142.0,20422.0,13177.0,-33530.0,26285.0
131,2020-02-18,104026.0,37277.0,9837.0,11146.0,37286.0,64963.0,85709.0,85946.0,18317.0,18080.0,-27677.0,27440.0
132,2020-02-11,102969.0,38083.0,8736.0,9364.0,37240.0,67167.0,84686.0,85267.0,18283.0,17702.0,-29927.0,29347.0
133,2020-02-04,103092.0,48385.0,10490.0,2879.0,33897.0,72552.0,85161.0,85920.0,17931.0,17171.0,-38655.0,37895.0
134,2020-01-28,105370.0,47502.0,9081.0,5006.0,34991.0,74404.0,87499.0,88491.0,17870.0,16879.0,-39413.0,38421.0
135,2020-01-21,104329.0,46079.0,13792.0,2917.0,36759.0,69225.0,85754.0,85933.0,18575.0,18396.0,-32466.0,32287.0
136,2020-01-14,102460.0,45447.0,18584.0,441.0,39395.0,66241.0,85283.0,85267.0,17177.0,17193.0,-26846.0,26863.0
137,2020-01-07,98595.0,40628.0,17456.0,1912.0,38638.0,62466.0,81178.0,81834.0,17417.0,16761.0,-23828.0,23172.0
138,2019-12-31,107622.0,47567.0,21260.0,1599.0,41804.0,68381.0,90970.0,91240.0,16652.0,16383.0,-26577.0,26307.0
139,2019-12-24,103402.0,44548.0,18675.0,1161.0,41490.0,64976.0,87198.0,84811.0,16203.0,18590.0,-23486.0,25873.0
140,2019-12-17,122609.0,43574.0,21557.0,1695.0,59655.0,80399.0,104924.0,103651.0,17685.0,18958.0,-20744.0,22017.0
141,2019-12-10,108742.0,41710.0,20916.0,1957.0,48579.0,69170.0,92246.0,92044.0,16496.0,16698.0,-20591.0,20794.0
142,2019-12-03,102771.0,37310.0,11883.0,4842.0,43681.0,68907.0,85832.0,85632.0,16939.0,17139.0,-25226.0,25427.0
143,2019-11-26,108207.0,41435.0,10592.0,5259.0,43592.0,73695.0,90286.0,89547.0,17921.0,18660.0,-30103.0,30843.0
144,2019-11-19,110986.0,43555.0,12335.0,3780.0,46226.0,76467.0,93561.0,92581.0,17425.0,18405.0,-30241.0,31220.0
145,2019-11-12,114589.0,47497.0,9664.0,5400.0,45100.0,81153.0,97997.0,96217.0,16592.0,18372.0,-36053.0,37833.0
146,2019-11-05,115895.0,50749.0,11645.0,3025.0,45236.0,83973.0,99010.0,98644.0,16884.0,17251.0,-38737.0,39104.0
