,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,799141.0,217628.0,262673.0,55206.0,440189.0,413145.0,713022.0,731023.0,86119.0,68118.0,27044.0,-45045.0
1,2022-08-16,764836.0,204433.0,246536.0,50644.0,427442.0,405504.0,682519.0,702683.0,82317.0,62153.0,21938.0,-42103.0
2,2022-08-09,752202.0,205054.0,237259.0,47627.0,417946.0,404312.0,670628.0,689198.0,81574.0,63004.0,13634.0,-32205.0
3,2022-08-02,760557.0,196101.0,233642.0,55281.0,423482.0,407271.0,674864.0,696194.0,85694.0,64363.0,16211.0,-37541.0
4,2022-07-26,774144.0,203412.0,245287.0,57826.0,426575.0,405430.0,687813.0,708542.0,86331.0,65601.0,21145.0,-41875.0
5,2022-07-19,771127.0,202844.0,243182.0,53470.0,429098.0,412316.0,685412.0,708968.0,85715.0,62158.0,16782.0,-40338.0
6,2022-07-12,758650.0,201278.0,230214.0,50475.0,420187.0,408643.0,671940.0,689332.0,86710.0,69318.0,11544.0,-28936.0
7,2022-07-05,754360.0,198170.0,222447.0,53456.0,417096.0,416563.0,668721.0,692466.0,85639.0,61895.0,533.0,-24277.0
8,2022-06-28,729664.0,192687.0,206276.0,44014.0,406643.0,422669.0,643344.0,672959.0,86319.0,56705.0,-16026.0,-13589.0
9,2022-06-21,730456.0,198623.0,216892.0,43782.0,400383.0,415207.0,642788.0,675880.0,87668.0,54575.0,-14824.0,-18269.0
10,2022-06-14,728105.0,206358.0,220841.0,42173.0,391471.0,411106.0,640002.0,674119.0,88103.0,53986.0,-19635.0,-14483.0
11,2022-06-07,779660.0,229386.0,182787.0,71015.0,385696.0,469407.0,686097.0,723208.0,93563.0,56452.0,-83711.0,46599.0
12,2022-05-31,778464.0,235929.0,186461.0,52365.0,399837.0,481869.0,688131.0,720695.0,90333.0,57769.0,-82032.0,49468.0
13,2022-05-24,782891.0,237637.0,201007.0,51121.0,402783.0,472749.0,691540.0,724877.0,91351.0,58014.0,-69966.0,36630.0
14,2022-05-17,777256.0,227668.0,211864.0,52815.0,408577.0,454740.0,689060.0,719419.0,88196.0,57837.0,-46163.0,15804.0
15,2022-05-10,775338.0,222966.0,212394.0,51205.0,413415.0,449777.0,687586.0,713377.0,87751.0,61961.0,-36362.0,10572.0
16,2022-05-03,787894.0,205303.0,215579.0,57733.0,432988.0,452280.0,696024.0,725591.0,91870.0,62303.0,-19292.0,-10276.0
17,2022-04-26,770417.0,219663.0,204138.0,52984.0,412103.0,450759.0,684749.0,707881.0,85668.0,62537.0,-38656.0,15525.0
18,2022-04-19,743819.0,219973.0,192500.0,46685.0,397578.0,442328.0,664235.0,681513.0,79584.0,62306.0,-44750.0,27473.0
19,2022-04-12,742758.0,216886.0,183007.0,49654.0,393690.0,449210.0,660230.0,681872.0,82528.0,60886.0,-55520.0,33879.0
20,2022-04-05,738415.0,212922.0,186352.0,52401.0,391810.0,440408.0,657132.0,679160.0,81283.0,59254.0,-48598.0,26570.0
21,2022-03-29,724176.0,202947.0,178696.0,48011.0,390305.0,440185.0,641263.0,666892.0,82913.0,57285.0,-49880.0,24251.0
22,2022-03-22,721229.0,211797.0,185600.0,46988.0,384190.0,432148.0,642975.0,664736.0,78254.0,56494.0,-47958.0,26197.0
23,2022-03-15,731727.0,205996.0,185698.0,51028.0,397098.0,440312.0,654122.0,677039.0,77605.0,54689.0,-43214.0,20298.0
24,2022-03-08,805684.0,248693.0,186157.0,54875.0,413587.0,500638.0,717155.0,741671.0,88530.0,64014.0,-87051.0,62536.0
25,2022-03-01,798963.0,233795.0,165481.0,51776.0,425895.0,523885.0,711465.0,741142.0,87498.0,57821.0,-97990.0,68314.0
26,2022-02-22,755652.0,217599.0,158669.0,40726.0,404999.0,502819.0,663324.0,702213.0,92328.0,53439.0,-97820.0,58930.0
27,2022-02-15,760550.0,223114.0,175407.0,37087.0,408296.0,493593.0,668497.0,706087.0,92053.0,54463.0,-85297.0,47707.0
28,2022-02-08,753221.0,218065.0,182380.0,38938.0,405606.0,475724.0,662609.0,697043.0,90612.0,56178.0,-70118.0,35685.0
29,2022-02-01,741723.0,211339.0,187207.0,41889.0,401869.0,453639.0,655097.0,682735.0,86626.0,58988.0,-51770.0,24132.0
30,2022-01-25,732926.0,213864.0,185829.0,36001.0,401624.0,453453.0,651490.0,675283.0,81437.0,57643.0,-51829.0,28035.0
31,2022-01-18,741576.0,212396.0,190813.0,35032.0,411733.0,458776.0,659161.0,684621.0,82415.0,56955.0,-47043.0,21583.0
32,2022-01-11,723727.0,203089.0,199091.0,30251.0,408531.0,439368.0,641871.0,668710.0,81855.0,55017.0,-30837.0,3998.0
33,2022-01-04,726109.0,197591.0,202349.0,34573.0,410919.0,433597.0,643084.0,670519.0,83026.0,55590.0,-22678.0,-4758.0
34,2021-12-28,719368.0,196480.0,206141.0,37845.0,406318.0,421155.0,640643.0,665141.0,78725.0,54227.0,-14837.0,-9661.0
35,2021-12-21,719318.0,193768.0,207887.0,40095.0,404215.0,415356.0,638077.0,663338.0,81240.0,55980.0,-11141.0,-14119.0
36,2021-12-14,713310.0,186791.0,202524.0,41320.0,402286.0,415003.0,630397.0,658848.0,82913.0,54462.0,-12717.0,-15733.0
37,2021-12-07,768267.0,194009.0,205343.0,42550.0,443036.0,459893.0,679595.0,707786.0,88672.0,60481.0,-16857.0,-11334.0
38,2021-11-30,780504.0,191564.0,220654.0,47570.0,444932.0,450119.0,684065.0,718343.0,96439.0,62161.0,-5187.0,-29090.0
39,2021-11-23,790236.0,206644.0,229316.0,44021.0,444780.0,455253.0,695445.0,728590.0,94791.0,61646.0,-10473.0,-22672.0
40,2021-11-16,781018.0,200398.0,209027.0,42804.0,443218.0,465082.0,686420.0,716913.0,94598.0,64105.0,-21864.0,-8629.0
41,2021-11-09,722290.0,193432.0,188347.0,31850.0,410681.0,443689.0,635964.0,663887.0,86326.0,58404.0,-33008.0,5085.0
42,2021-11-02,732649.0,195060.0,199675.0,32299.0,418172.0,442440.0,645531.0,674414.0,87118.0,58235.0,-24268.0,-4615.0
43,2021-10-26,729402.0,199092.0,210297.0,29923.0,411325.0,427234.0,640340.0,667454.0,89062.0,61948.0,-15909.0,-11205.0
44,2021-10-19,727421.0,195034.0,206435.0,30961.0,411532.0,429516.0,637527.0,666912.0,89894.0,60508.0,-17984.0,-11401.0
45,2021-10-12,747144.0,203472.0,222558.0,31524.0,421160.0,428726.0,656155.0,682808.0,90989.0,64336.0,-7566.0,-19086.0
46,2021-10-05,755988.0,197739.0,220138.0,37116.0,427845.0,436278.0,662700.0,693532.0,93288.0,62456.0,-8433.0,-22399.0
47,2021-09-28,720568.0,195245.0,194430.0,32184.0,403577.0,434006.0,631006.0,660620.0,89562.0,59948.0,-30429.0,815.0
48,2021-09-21,710412.0,187981.0,178271.0,30224.0,403932.0,446326.0,622137.0,654821.0,88275.0,55591.0,-42394.0,9710.0
49,2021-09-14,692667.0,187431.0,159721.0,25525.0,387029.0,453490.0,599985.0,638736.0,92682.0,53930.0,-66461.0,27710.0
50,2021-09-07,734943.0,191626.0,163997.0,28438.0,414402.0,489183.0,634466.0,681618.0,100477.0,53326.0,-74781.0,27629.0
51,2021-08-31,752386.0,192464.0,180525.0,35451.0,426942.0,480422.0,654857.0,696397.0,97529.0,55988.0,-53480.0,11939.0
52,2021-08-24,750650.0,194432.0,169386.0,34628.0,427187.0,485317.0,656246.0,689330.0,94403.0,61319.0,-58130.0,25046.0
53,2021-08-17,747603.0,233906.0,176587.0,31322.0,409981.0,481849.0,675209.0,689757.0,72394.0,57845.0,-71868.0,57319.0
54,2021-08-10,755292.0,212300.0,180946.0,32628.0,415671.0,482194.0,660599.0,695768.0,94693.0,59523.0,-66523.0,31354.0
55,2021-08-03,732213.0,201458.0,162744.0,33697.0,401566.0,481531.0,636721.0,677972.0,95492.0,54241.0,-79965.0,38714.0
56,2021-07-27,737069.0,204486.0,163369.0,35246.0,401182.0,483173.0,640914.0,681788.0,96155.0,55281.0,-81991.0,41117.0
57,2021-07-20,744288.0,210151.0,161594.0,33558.0,407931.0,491247.0,651640.0,686400.0,92648.0,57888.0,-83316.0,48557.0
58,2021-07-13,753820.0,215794.0,154511.0,35038.0,407177.0,509263.0,658009.0,698812.0,95811.0,55008.0,-102086.0,61283.0
59,2021-07-06,772128.0,213462.0,140559.0,38549.0,420441.0,541173.0,672451.0,720281.0,99677.0,51847.0,-120732.0,72903.0
60,2021-06-29,759123.0,209590.0,124087.0,32292.0,416101.0,550667.0,657983.0,707046.0,101140.0,52077.0,-134566.0,85503.0
