,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,286303.0,61842.0,89708.0,24253.0,178528.0,129775.0,264623.0,243736.0,21680.0,42568.0,48753.0,-27866.0
1,2022-08-16,258888.0,45675.0,77514.0,23201.0,168965.0,122954.0,237841.0,223670.0,21047.0,35219.0,46011.0,-31839.0
2,2022-08-09,252873.0,43564.0,78377.0,20733.0,168140.0,115747.0,232437.0,214857.0,20436.0,38016.0,52393.0,-34813.0
3,2022-08-02,260221.0,30620.0,84693.0,24044.0,185072.0,114722.0,239736.0,223460.0,20485.0,36761.0,70350.0,-54073.0
4,2022-07-26,259425.0,35908.0,88621.0,22173.0,182466.0,113038.0,240546.0,223831.0,18878.0,35594.0,69428.0,-52713.0
5,2022-07-19,259828.0,34284.0,90091.0,19574.0,184633.0,116088.0,238490.0,225752.0,21338.0,34076.0,68545.0,-55807.0
6,2022-07-12,260629.0,35953.0,94778.0,16534.0,187426.0,112891.0,239913.0,224203.0,20716.0,36426.0,74535.0,-58825.0
7,2022-07-05,282157.0,37486.0,98488.0,24746.0,199944.0,119282.0,262176.0,242515.0,19982.0,39642.0,80662.0,-61002.0
8,2022-06-28,263137.0,34550.0,90130.0,21013.0,187386.0,115398.0,242949.0,226540.0,20188.0,36596.0,71988.0,-55580.0
9,2022-06-21,260071.0,29352.0,93014.0,20129.0,191497.0,113413.0,240979.0,226555.0,19093.0,33516.0,78084.0,-63662.0
10,2022-06-14,274943.0,31489.0,99638.0,19071.0,201635.0,118898.0,252195.0,237607.0,22749.0,37337.0,82737.0,-68149.0
11,2022-06-07,283805.0,36747.0,105977.0,21997.0,202440.0,123341.0,261184.0,251315.0,22622.0,32490.0,79099.0,-69230.0
12,2022-05-31,287157.0,34297.0,104157.0,23904.0,208535.0,125184.0,266736.0,253244.0,20421.0,33913.0,83351.0,-69860.0
13,2022-05-24,289100.0,29807.0,107498.0,19483.0,219553.0,124934.0,268843.0,251915.0,20257.0,37185.0,94619.0,-77691.0
14,2022-05-17,290406.0,31223.0,108619.0,18799.0,218390.0,126101.0,268411.0,253519.0,21995.0,36888.0,92289.0,-77396.0
15,2022-05-10,304969.0,34310.0,113956.0,19499.0,229389.0,134737.0,283198.0,268192.0,21771.0,36778.0,94652.0,-79646.0
16,2022-05-03,320607.0,35710.0,114775.0,23338.0,239373.0,145907.0,298421.0,284020.0,22186.0,36587.0,93466.0,-79065.0
17,2022-04-26,320245.0,42227.0,116674.0,21541.0,234175.0,142240.0,297943.0,280455.0,22302.0,39790.0,91935.0,-74447.0
18,2022-04-19,275477.0,39702.0,98216.0,14309.0,198416.0,126268.0,252428.0,238794.0,23049.0,36683.0,72148.0,-58514.0
19,2022-04-12,271471.0,38434.0,90945.0,14164.0,198078.0,127948.0,250675.0,233057.0,20796.0,38414.0,70130.0,-52511.0
20,2022-04-05,265945.0,35944.0,78362.0,20768.0,188392.0,130329.0,245104.0,229458.0,20841.0,36486.0,58063.0,-42418.0
21,2022-03-29,248659.0,34043.0,74298.0,16126.0,175405.0,123518.0,225573.0,213942.0,23086.0,34717.0,51887.0,-40255.0
22,2022-03-22,217767.0,35420.0,71693.0,15080.0,147108.0,97889.0,197607.0,184662.0,20160.0,33105.0,49219.0,-36273.0
23,2022-03-15,213138.0,36210.0,66087.0,14944.0,137184.0,99716.0,188338.0,180747.0,24800.0,32390.0,37468.0,-29877.0
24,2022-03-08,271556.0,55234.0,68245.0,16415.0,175778.0,150438.0,247426.0,235097.0,24130.0,36459.0,25340.0,-13011.0
25,2022-03-01,244181.0,51021.0,50176.0,21709.0,147815.0,135281.0,220546.0,207166.0,23636.0,37016.0,12534.0,845.0
26,2022-02-22,213656.0,43893.0,47746.0,16162.0,128715.0,120613.0,188771.0,184521.0,24885.0,29134.0,8102.0,-3853.0
27,2022-02-15,221634.0,52202.0,47400.0,16868.0,127439.0,127228.0,196509.0,191496.0,25125.0,30138.0,211.0,4802.0
28,2022-02-08,220432.0,46764.0,53118.0,15162.0,130866.0,123627.0,192792.0,191908.0,27640.0,28524.0,7239.0,-6354.0
29,2022-02-01,205869.0,31637.0,52484.0,13204.0,135044.0,108839.0,179885.0,174527.0,25984.0,31342.0,26205.0,-20847.0
30,2022-01-25,203645.0,38056.0,43609.0,13400.0,126428.0,111699.0,177884.0,168707.0,25761.0,34938.0,14729.0,-5553.0
31,2022-01-18,203396.0,40566.0,37927.0,13860.0,122008.0,121986.0,176434.0,173773.0,26962.0,29623.0,22.0,2639.0
32,2022-01-11,218821.0,30641.0,57505.0,13289.0,151597.0,115522.0,195526.0,186316.0,23295.0,32505.0,36075.0,-26864.0
33,2022-01-04,221580.0,26843.0,65141.0,13433.0,160077.0,111139.0,200353.0,189713.0,21227.0,31866.0,48938.0,-38298.0
34,2021-12-28,225878.0,22869.0,74327.0,14202.0,165831.0,104928.0,202902.0,193457.0,22976.0,32421.0,60903.0,-51458.0
35,2021-12-21,229460.0,20452.0,80117.0,14039.0,172799.0,99939.0,207290.0,194095.0,22170.0,35366.0,72860.0,-59665.0
36,2021-12-14,236009.0,29066.0,82355.0,13927.0,172397.0,99836.0,215390.0,196117.0,20620.0,39892.0,72561.0,-53289.0
37,2021-12-07,259513.0,49202.0,89036.0,16324.0,169177.0,113468.0,234703.0,218829.0,24810.0,40685.0,55709.0,-39834.0
38,2021-11-30,260131.0,51344.0,92719.0,21227.0,163464.0,107995.0,236035.0,221941.0,24096.0,38191.0,55469.0,-41375.0
39,2021-11-23,240055.0,49997.0,86320.0,19141.0,146935.0,99858.0,216072.0,205319.0,23982.0,34736.0,47077.0,-36323.0
40,2021-11-16,231766.0,51285.0,83277.0,17423.0,138173.0,97305.0,206881.0,198005.0,24885.0,33761.0,40868.0,-31992.0
41,2021-11-09,207068.0,55276.0,66468.0,16210.0,109782.0,93282.0,181268.0,175960.0,25800.0,31108.0,16500.0,-11192.0
42,2021-11-02,189174.0,57916.0,42494.0,14871.0,87681.0,100116.0,160468.0,157481.0,28706.0,31693.0,-12435.0,15422.0
43,2021-10-26,177920.0,52104.0,35030.0,14443.0,83122.0,98550.0,149669.0,148024.0,28251.0,29897.0,-15428.0,17074.0
44,2021-10-19,181133.0,49232.0,45678.0,14724.0,88347.0,92145.0,152303.0,152547.0,28831.0,28586.0,-3798.0,3554.0
45,2021-10-12,193008.0,47139.0,58166.0,13715.0,106416.0,87156.0,167270.0,159038.0,25738.0,33970.0,19260.0,-11027.0
46,2021-10-05,206820.0,48838.0,68839.0,15020.0,116037.0,90188.0,179894.0,174048.0,26926.0,32772.0,25849.0,-20001.0
47,2021-09-28,196667.0,58604.0,56981.0,15912.0,93355.0,90324.0,167871.0,163217.0,28796.0,33450.0,3031.0,1623.0
48,2021-09-21,178905.0,53192.0,52404.0,12232.0,86052.0,86243.0,151476.0,150879.0,27429.0,28026.0,-191.0,788.0
49,2021-09-14,159274.0,45673.0,39296.0,8620.0,71680.0,86220.0,125974.0,134137.0,33300.0,25137.0,-14540.0,6377.0
50,2021-09-07,217300.0,30877.0,53822.0,17263.0,138037.0,119435.0,186177.0,190520.0,31123.0,26780.0,18602.0,-22945.0
51,2021-08-31,212231.0,36314.0,51395.0,11750.0,133812.0,119540.0,181875.0,182685.0,30356.0,29546.0,14272.0,-15081.0
