,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,598932.0,242188.0,114585.0,147502.0,166671.0,306825.0,556361.0,568912.0,42570.0,30020.0,-140154.0,127603.0
1,2022-08-16,598603.0,245125.0,101089.0,148379.0,162609.0,319946.0,556112.0,569414.0,42491.0,29189.0,-157337.0,144036.0
2,2022-08-09,612376.0,250942.0,102308.0,153912.0,165215.0,325893.0,570069.0,582112.0,42307.0,30264.0,-160678.0,148634.0
3,2022-08-02,613727.0,250210.0,121923.0,150991.0,170743.0,310808.0,571945.0,583723.0,41782.0,30004.0,-140065.0,128287.0
4,2022-07-26,622683.0,245561.0,154136.0,147269.0,182595.0,290257.0,575425.0,591662.0,47258.0,31021.0,-107662.0,91425.0
5,2022-07-19,677492.0,239928.0,147427.0,186284.0,202069.0,312617.0,628282.0,646329.0,49210.0,31163.0,-110548.0,92501.0
6,2022-07-12,694137.0,252403.0,135552.0,204066.0,179573.0,316162.0,636042.0,655780.0,58095.0,38357.0,-136589.0,116851.0
7,2022-07-05,641642.0,272216.0,125800.0,157579.0,162466.0,329508.0,592261.0,612887.0,49381.0,28755.0,-167042.0,146416.0
8,2022-06-28,622359.0,278841.0,113751.0,140413.0,153673.0,343598.0,572927.0,597762.0,49432.0,24597.0,-189925.0,165090.0
9,2022-06-21,639784.0,280420.0,105794.0,152996.0,157291.0,356485.0,590707.0,615275.0,49078.0,24509.0,-199194.0,174626.0
10,2022-06-14,643209.0,277333.0,113712.0,152434.0,162241.0,351340.0,592007.0,617485.0,51202.0,25724.0,-189099.0,163621.0
11,2022-06-07,622353.0,282854.0,98894.0,137459.0,153904.0,363224.0,574217.0,599577.0,48136.0,22776.0,-209320.0,183960.0
12,2022-05-31,641087.0,281667.0,100484.0,135308.0,173389.0,382791.0,590365.0,618583.0,50723.0,22504.0,-209402.0,181183.0
13,2022-05-24,717726.0,293447.0,97525.0,180546.0,191148.0,415984.0,665141.0,694055.0,52585.0,23670.0,-224836.0,195922.0
14,2022-05-17,727353.0,286953.0,108588.0,187055.0,196919.0,407744.0,670927.0,703386.0,56427.0,23967.0,-210825.0,178365.0
15,2022-05-10,741917.0,296031.0,97616.0,197741.0,190171.0,423816.0,683943.0,719172.0,57974.0,22744.0,-233645.0,198415.0
