,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,268485.0,55232.0,93871.0,18472.0,170283.0,118279.0,243988.0,230622.0,24498.0,37863.0,52004.0,-38639.0
1,2022-08-16,252322.0,49547.0,78786.0,13821.0,164999.0,123332.0,228367.0,215938.0,23955.0,36383.0,41667.0,-29239.0
2,2022-08-09,249796.0,51616.0,77148.0,13688.0,161390.0,124280.0,226694.0,215116.0,23102.0,34681.0,37110.0,-25532.0
3,2022-08-02,269974.0,51651.0,91531.0,16830.0,173935.0,126831.0,242416.0,235192.0,27557.0,34781.0,47104.0,-39880.0
4,2022-07-26,256971.0,45362.0,103708.0,16102.0,170096.0,99301.0,231561.0,219111.0,25410.0,37860.0,70795.0,-58346.0
5,2022-07-19,256724.0,44218.0,102326.0,14508.0,171520.0,99101.0,230247.0,215935.0,26477.0,40788.0,72419.0,-58108.0
6,2022-07-12,250421.0,36717.0,95838.0,14991.0,173650.0,99144.0,225359.0,209974.0,25062.0,40447.0,74506.0,-59121.0
7,2022-07-05,245636.0,37730.0,94205.0,18931.0,161764.0,95743.0,218425.0,208879.0,27211.0,36757.0,66021.0,-56475.0
8,2022-06-28,242708.0,35870.0,90695.0,17342.0,165419.0,94939.0,218631.0,202976.0,24077.0,39732.0,70480.0,-54825.0
9,2022-06-21,250190.0,35254.0,94800.0,19727.0,170172.0,94360.0,225153.0,208886.0,25037.0,41304.0,75812.0,-59546.0
10,2022-06-14,262137.0,33971.0,102887.0,16580.0,187183.0,101570.0,237734.0,221037.0,24403.0,41100.0,85613.0,-68916.0
11,2022-06-07,288858.0,20095.0,111874.0,24343.0,219842.0,110055.0,264279.0,246272.0,24579.0,42586.0,109787.0,-91779.0
12,2022-05-31,261055.0,16696.0,110656.0,15046.0,205353.0,100475.0,237096.0,226177.0,23959.0,34878.0,104878.0,-93960.0
13,2022-05-24,262071.0,17689.0,116239.0,15483.0,201839.0,96967.0,235011.0,228690.0,27060.0,33382.0,104872.0,-98550.0
14,2022-05-17,262484.0,12264.0,115405.0,13676.0,213666.0,97438.0,239606.0,226518.0,22879.0,35966.0,116228.0,-103141.0
15,2022-05-10,271933.0,11227.0,122844.0,13912.0,223275.0,97396.0,248414.0,234152.0,23519.0,37781.0,125879.0,-111617.0
16,2022-05-03,291707.0,16352.0,123909.0,18329.0,237114.0,109777.0,271795.0,252015.0,19912.0,39692.0,127337.0,-107557.0
17,2022-04-26,270132.0,11080.0,111217.0,18152.0,219011.0,99671.0,248242.0,229039.0,21889.0,41092.0,119340.0,-100137.0
18,2022-04-19,282860.0,9283.0,121993.0,16643.0,234063.0,98999.0,259988.0,237634.0,22872.0,45226.0,135064.0,-112710.0
19,2022-04-12,274334.0,9599.0,125257.0,13592.0,229335.0,93697.0,252526.0,232547.0,21808.0,41787.0,135638.0,-115658.0
20,2022-04-05,284719.0,8468.0,119235.0,25570.0,229924.0,97158.0,263962.0,241963.0,20758.0,42757.0,132766.0,-110767.0
21,2022-03-29,274586.0,9439.0,116755.0,21514.0,221230.0,90589.0,252183.0,228858.0,22403.0,45728.0,130641.0,-107316.0
22,2022-03-22,278595.0,35521.0,119474.0,18305.0,205032.0,95362.0,258858.0,233141.0,19737.0,45454.0,109670.0,-83953.0
23,2022-03-15,234425.0,33541.0,98158.0,12622.0,171197.0,81906.0,217359.0,192685.0,17066.0,41739.0,89291.0,-64617.0
24,2022-03-08,223064.0,15868.0,72421.0,13715.0,175613.0,98496.0,205196.0,184632.0,17868.0,38432.0,77117.0,-56553.0
25,2022-03-01,227691.0,16092.0,84341.0,13220.0,174752.0,95746.0,204063.0,193307.0,23627.0,34384.0,79006.0,-68249.0
26,2022-02-22,211966.0,11620.0,75407.0,12665.0,168696.0,85584.0,192980.0,173656.0,18986.0,38310.0,83112.0,-63787.0
27,2022-02-15,216253.0,10879.0,79326.0,11047.0,174269.0,85745.0,196195.0,176118.0,20058.0,40135.0,88524.0,-68447.0
28,2022-02-08,211734.0,16476.0,77501.0,10326.0,166488.0,88605.0,193289.0,176431.0,18444.0,35302.0,77883.0,-61025.0
29,2022-02-01,211632.0,14083.0,77014.0,12243.0,168532.0,87063.0,194858.0,176320.0,16774.0,35313.0,81469.0,-62931.0
30,2022-01-25,215888.0,14864.0,83546.0,14823.0,167353.0,84313.0,197041.0,182682.0,18847.0,33206.0,83040.0,-68682.0
31,2022-01-18,219327.0,8494.0,91557.0,11240.0,181068.0,79581.0,200802.0,182378.0,18525.0,36949.0,101487.0,-83063.0
32,2022-01-11,250380.0,22224.0,112252.0,12813.0,196726.0,86026.0,231763.0,211092.0,18617.0,39289.0,110700.0,-90028.0
33,2022-01-04,266893.0,41961.0,114580.0,15666.0,189653.0,94681.0,247280.0,224928.0,19612.0,41964.0,94972.0,-72619.0
34,2021-12-28,223918.0,32209.0,90932.0,12123.0,162238.0,84296.0,206570.0,187351.0,17348.0,36566.0,77942.0,-58723.0
35,2021-12-21,199173.0,22239.0,77905.0,8788.0,150415.0,76111.0,181443.0,162804.0,17730.0,36369.0,74304.0,-55666.0
36,2021-12-14,190972.0,20066.0,75676.0,8421.0,144090.0,71038.0,172577.0,155135.0,18395.0,35836.0,73052.0,-55610.0
37,2021-12-07,221933.0,12069.0,77925.0,18008.0,172318.0,89042.0,202395.0,184975.0,19539.0,36959.0,83276.0,-65856.0
38,2021-11-30,237105.0,14946.0,95254.0,12101.0,188148.0,94516.0,215195.0,201871.0,21910.0,35233.0,93632.0,-80308.0
