,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,340590.0,82995.0,48170.0,62090.0,160423.0,175243.0,305508.0,285503.0,35081.0,55086.0,-14820.0,34825.0
1,2022-08-16,350787.0,76967.0,71924.0,65539.0,175530.0,156537.0,318037.0,294000.0,32751.0,56788.0,18993.0,5043.0
2,2022-08-09,336974.0,72978.0,54508.0,61124.0,169640.0,167078.0,303742.0,282710.0,33233.0,54264.0,2562.0,18470.0
3,2022-08-02,337238.0,74873.0,51929.0,61124.0,168169.0,174220.0,304166.0,287273.0,33073.0,49966.0,-6051.0,22944.0
4,2022-07-26,344840.0,82317.0,51992.0,64192.0,161347.0,184969.0,307856.0,301153.0,36984.0,43687.0,-23622.0,30325.0
5,2022-07-19,328929.0,76726.0,48705.0,57250.0,157898.0,176057.0,291874.0,282013.0,37054.0,46916.0,-18159.0,28021.0
6,2022-07-12,330110.0,75978.0,58243.0,57798.0,160781.0,168461.0,294557.0,284502.0,35552.0,45608.0,-7680.0,17735.0
7,2022-07-05,334573.0,80404.0,52211.0,59613.0,156235.0,178997.0,296252.0,290821.0,38321.0,43752.0,-22762.0,28193.0
8,2022-06-28,334030.0,78304.0,53934.0,66545.0,149545.0,170114.0,294394.0,290593.0,39636.0,43437.0,-20569.0,24370.0
9,2022-06-21,313966.0,82513.0,53066.0,59282.0,128655.0,156611.0,270450.0,268959.0,43516.0,45006.0,-27956.0,29447.0
10,2022-06-14,436671.0,87943.0,58651.0,111489.0,182665.0,209012.0,382097.0,379152.0,54573.0,57518.0,-26347.0,29292.0
11,2022-06-07,380205.0,79190.0,60180.0,94820.0,169090.0,170990.0,343100.0,325989.0,37105.0,54215.0,-1900.0,19010.0
12,2022-05-31,375503.0,74555.0,62802.0,88214.0,173949.0,170515.0,336718.0,321532.0,38785.0,53971.0,3434.0,11753.0
13,2022-05-24,390597.0,71827.0,61281.0,107503.0,160561.0,173481.0,339890.0,342265.0,50706.0,48332.0,-12920.0,10546.0
14,2022-05-17,361068.0,69162.0,55218.0,95955.0,149513.0,161921.0,314630.0,313093.0,46438.0,47974.0,-12408.0,13944.0
15,2022-05-10,370163.0,67499.0,56902.0,99159.0,154522.0,166065.0,321179.0,322126.0,48983.0,48037.0,-11543.0,10597.0
16,2022-05-03,329958.0,65216.0,51254.0,82756.0,137046.0,146124.0,285018.0,280134.0,44940.0,49824.0,-9078.0,13962.0
17,2022-04-26,328434.0,68827.0,52579.0,73773.0,139978.0,150670.0,282579.0,277022.0,45855.0,51411.0,-10692.0,16248.0
18,2022-04-19,294090.0,64459.0,52371.0,48593.0,146211.0,142544.0,259263.0,243508.0,34827.0,50582.0,3667.0,12088.0
19,2022-04-12,297941.0,64411.0,49643.0,59030.0,139176.0,138865.0,262617.0,247538.0,35324.0,50402.0,311.0,14768.0
20,2022-04-05,293533.0,54806.0,60316.0,53719.0,151830.0,125293.0,260356.0,239328.0,33177.0,54204.0,26537.0,-5510.0
21,2022-03-29,285267.0,46236.0,54126.0,53411.0,154164.0,119624.0,253811.0,227161.0,31456.0,58106.0,34540.0,-7890.0
22,2022-03-22,267070.0,54272.0,47838.0,47771.0,133834.0,117558.0,235877.0,213166.0,31193.0,53904.0,16276.0,6434.0
23,2022-03-15,335185.0,66560.0,46810.0,67426.0,161126.0,166608.0,295112.0,280844.0,40073.0,54341.0,-5482.0,19750.0
24,2022-03-08,318982.0,74542.0,47564.0,55536.0,148666.0,164144.0,278743.0,267243.0,40239.0,51739.0,-15478.0,26978.0
25,2022-03-01,307780.0,61310.0,48361.0,44729.0,164925.0,154128.0,270964.0,247217.0,36816.0,60563.0,10797.0,12949.0
26,2022-02-22,316805.0,75416.0,61006.0,43998.0,153967.0,160113.0,273381.0,265117.0,43424.0,51687.0,-6146.0,14410.0
27,2022-02-15,296194.0,66958.0,56756.0,48370.0,143343.0,137812.0,258671.0,242937.0,37523.0,53257.0,5531.0,10202.0
28,2022-02-08,290566.0,66888.0,57030.0,44242.0,139679.0,136694.0,250809.0,237965.0,39757.0,52601.0,2985.0,9858.0
29,2022-02-01,295231.0,72108.0,72996.0,48887.0,132988.0,121269.0,253984.0,243153.0,41247.0,52078.0,11719.0,-888.0
30,2022-01-25,309315.0,84610.0,57471.0,58008.0,116098.0,151367.0,258715.0,266846.0,50599.0,42469.0,-35269.0,27139.0
31,2022-01-18,283960.0,87484.0,57928.0,43841.0,106567.0,136560.0,237891.0,238329.0,46069.0,45631.0,-29993.0,29556.0
32,2022-01-11,263047.0,75318.0,53701.0,39500.0,103506.0,126441.0,218323.0,219642.0,44723.0,43405.0,-22935.0,21617.0
33,2022-01-04,245685.0,70192.0,48861.0,30527.0,102010.0,128362.0,202730.0,207750.0,42956.0,37936.0,-26352.0,21331.0
34,2021-12-28,246646.0,69436.0,55037.0,31019.0,107603.0,122528.0,208058.0,208584.0,38588.0,38062.0,-14925.0,14399.0
35,2021-12-21,245778.0,71621.0,46068.0,33555.0,99647.0,126968.0,204823.0,206591.0,40956.0,39187.0,-27321.0,25553.0
36,2021-12-14,326855.0,84573.0,52275.0,65157.0,128218.0,161639.0,277948.0,279072.0,48907.0,47784.0,-33421.0,32298.0
37,2021-12-07,310427.0,80179.0,53662.0,57462.0,128584.0,152925.0,266225.0,264048.0,44202.0,46379.0,-24341.0,26517.0
38,2021-11-30,312344.0,85740.0,52992.0,50863.0,134832.0,159088.0,271435.0,262943.0,40908.0,49400.0,-24256.0,32748.0
39,2021-11-23,315370.0,82327.0,55024.0,52267.0,135609.0,156662.0,270203.0,263953.0,45167.0,51416.0,-21053.0,27303.0
40,2021-11-16,327760.0,79382.0,66255.0,57805.0,148726.0,155812.0,285913.0,279872.0,41846.0,47887.0,-7086.0,13127.0
41,2021-11-09,327806.0,79974.0,65110.0,59019.0,146776.0,154031.0,285769.0,278160.0,42037.0,49646.0,-7255.0,14864.0
42,2021-11-02,315475.0,70113.0,62895.0,54878.0,150352.0,146414.0,275344.0,264188.0,40131.0,51287.0,3938.0,7218.0
43,2021-10-26,301241.0,64041.0,66443.0,52375.0,142594.0,135078.0,259009.0,253896.0,42232.0,47345.0,7516.0,-2402.0
44,2021-10-19,285915.0,59130.0,61270.0,46766.0,139374.0,128251.0,245270.0,236287.0,40645.0,49628.0,11123.0,-2140.0
45,2021-10-12,281495.0,59427.0,60289.0,48006.0,131238.0,127722.0,238671.0,236017.0,42824.0,45478.0,3516.0,-862.0
46,2021-10-05,277231.0,57258.0,60465.0,49542.0,126398.0,119984.0,233198.0,229991.0,44033.0,47240.0,6414.0,-3207.0
47,2021-09-28,279668.0,62721.0,66926.0,44990.0,125265.0,118537.0,232976.0,230454.0,46692.0,49214.0,6728.0,-4205.0
48,2021-09-21,263490.0,68769.0,60388.0,37420.0,116130.0,123793.0,222319.0,221600.0,41172.0,41890.0,-7663.0,8381.0
49,2021-09-14,322138.0,81580.0,71747.0,52394.0,144363.0,145792.0,278338.0,269933.0,43801.0,52205.0,-1429.0,9833.0
50,2021-09-07,277489.0,75249.0,69050.0,43721.0,114251.0,109761.0,233220.0,222532.0,44268.0,54957.0,4490.0,6199.0
51,2021-08-31,273687.0,69122.0,69929.0,42502.0,122431.0,106978.0,234056.0,219409.0,39632.0,54278.0,15453.0,-807.0
52,2021-08-24,270008.0,64804.0,63016.0,41994.0,126176.0,107322.0,232974.0,212333.0,37034.0,57675.0,18854.0,1788.0
53,2021-08-17,277692.0,54898.0,74141.0,43131.0,141781.0,107193.0,239811.0,224465.0,37881.0,53227.0,34588.0,-19243.0
54,2021-08-10,273843.0,58884.0,68992.0,41632.0,136026.0,110571.0,236542.0,221195.0,37301.0,52648.0,25455.0,-10108.0
55,2021-08-03,259470.0,64765.0,61980.0,37192.0,121910.0,110339.0,223868.0,209512.0,35602.0,49958.0,11571.0,2785.0
56,2021-07-27,276404.0,63482.0,69711.0,39875.0,134883.0,116966.0,238240.0,226551.0,38165.0,49853.0,17917.0,-6229.0
57,2021-07-20,270375.0,71958.0,70070.0,33965.0,125538.0,115804.0,231461.0,219840.0,38914.0,50535.0,9734.0,1888.0
