,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,43306.0,16789.0,18263.0,519.0,23988.0,18989.0,41296.0,37771.0,2010.0,5535.0,4999.0,-1474.0
1,2022-08-16,42296.0,18412.0,16643.0,171.0,21254.0,21059.0,39837.0,37873.0,2460.0,4424.0,195.0,1769.0
2,2022-08-09,46235.0,18224.0,18500.0,187.0,25584.0,21540.0,43995.0,40227.0,2240.0,6008.0,4044.0,-276.0
3,2022-08-02,46398.0,16521.0,18094.0,713.0,26543.0,21685.0,43777.0,40492.0,2622.0,5907.0,4858.0,-1573.0
4,2022-07-26,47826.0,17311.0,21497.0,413.0,27851.0,20243.0,45575.0,42153.0,2251.0,5673.0,7608.0,-4186.0
5,2022-07-19,46914.0,15791.0,19462.0,327.0,28351.0,21124.0,44469.0,40913.0,2445.0,6001.0,7227.0,-3671.0
6,2022-07-12,47769.0,14926.0,20209.0,214.0,30191.0,21212.0,45331.0,41635.0,2437.0,6133.0,8979.0,-5283.0
7,2022-07-05,47237.0,13634.0,20690.0,51.0,30862.0,20341.0,44547.0,41082.0,2690.0,6155.0,10521.0,-7056.0
8,2022-06-28,40338.0,11720.0,17031.0,194.0,26167.0,17616.0,38081.0,34841.0,2257.0,5497.0,8551.0,-5311.0
9,2022-06-21,42890.0,14652.0,20075.0,36.0,26056.0,17300.0,40744.0,37411.0,2146.0,5479.0,8756.0,-5423.0
10,2022-06-14,45411.0,14894.0,21732.0,218.0,28062.0,18289.0,43174.0,40239.0,2237.0,5172.0,9773.0,-6838.0
11,2022-06-07,63541.0,12310.0,32081.0,4802.0,43890.0,21209.0,61002.0,58093.0,2539.0,5448.0,22681.0,-19771.0
12,2022-05-31,55258.0,9179.0,28020.0,1185.0,42129.0,20639.0,52493.0,49844.0,2765.0,5414.0,21490.0,-18841.0
13,2022-05-24,59401.0,10749.0,30186.0,871.0,45576.0,22757.0,57197.0,53815.0,2204.0,5585.0,22819.0,-19437.0
14,2022-05-17,60926.0,14998.0,32883.0,230.0,43337.0,21831.0,58565.0,54944.0,2362.0,5982.0,21506.0,-17885.0
15,2022-05-10,56355.0,15203.0,28316.0,275.0,38658.0,21669.0,54136.0,50260.0,2219.0,6095.0,16989.0,-13113.0
16,2022-05-03,50963.0,17317.0,24040.0,316.0,30903.0,20911.0,48536.0,45267.0,2426.0,5696.0,9992.0,-6723.0
17,2022-04-26,46617.0,21985.0,22021.0,662.0,21450.0,18878.0,44097.0,41561.0,2520.0,5057.0,2572.0,-36.0
18,2022-04-19,41186.0,19001.0,18716.0,450.0,18937.0,18351.0,38387.0,37517.0,2799.0,3669.0,586.0,285.0
19,2022-04-12,37675.0,16295.0,16640.0,284.0,17290.0,17664.0,33869.0,34587.0,3806.0,3088.0,-374.0,-345.0
20,2022-04-05,35798.0,15428.0,16997.0,186.0,15863.0,15692.0,31477.0,32875.0,4321.0,2923.0,171.0,-1569.0
21,2022-03-29,34885.0,15504.0,16371.0,204.0,15507.0,15510.0,31215.0,32085.0,3670.0,2800.0,-3.0,-867.0
22,2022-03-22,35259.0,17156.0,14636.0,534.0,14227.0,16296.0,31917.0,31466.0,3342.0,3793.0,-2069.0,2520.0
23,2022-03-15,39202.0,21493.0,17840.0,619.0,14671.0,16486.0,36783.0,34945.0,2419.0,4257.0,-1815.0,3653.0
24,2022-03-08,53253.0,15775.0,28154.0,1678.0,33005.0,19413.0,50458.0,49245.0,2795.0,4008.0,13592.0,-12379.0
25,2022-03-01,50394.0,10485.0,24657.0,913.0,36326.0,20236.0,47724.0,45806.0,2670.0,4588.0,16090.0,-14172.0
26,2022-02-22,56642.0,17343.0,28894.0,1204.0,35481.0,21573.0,54028.0,51671.0,2614.0,4971.0,13908.0,-11551.0
27,2022-02-15,64109.0,24923.0,34256.0,912.0,35432.0,23412.0,61267.0,58580.0,2842.0,5529.0,12020.0,-9333.0
28,2022-02-08,54882.0,17168.0,27534.0,1021.0,33591.0,20858.0,51780.0,49413.0,3102.0,5469.0,12733.0,-10366.0
29,2022-02-01,58472.0,19203.0,30903.0,838.0,35644.0,21625.0,55685.0,53366.0,2787.0,5106.0,14019.0,-11700.0
30,2022-01-25,53322.0,15948.0,26721.0,872.0,33712.0,20431.0,50532.0,48024.0,2790.0,5298.0,13281.0,-10773.0
31,2022-01-18,44735.0,11612.0,19943.0,388.0,29876.0,19254.0,41876.0,39585.0,2859.0,5150.0,10622.0,-8331.0
32,2022-01-11,42075.0,10960.0,19564.0,477.0,27650.0,17346.0,39087.0,37387.0,2988.0,4688.0,10304.0,-8604.0
33,2022-01-04,40308.0,9417.0,18262.0,677.0,27208.0,16873.0,37302.0,35812.0,3006.0,4496.0,10335.0,-8845.0
34,2021-12-28,41868.0,11231.0,19652.0,509.0,27097.0,16997.0,38837.0,37158.0,3031.0,4710.0,10100.0,-8421.0
35,2021-12-21,41360.0,11050.0,17189.0,677.0,26819.0,17953.0,38546.0,35819.0,2814.0,5541.0,8866.0,-6139.0
36,2021-12-14,41227.0,13539.0,19403.0,609.0,23994.0,15820.0,38142.0,35832.0,3085.0,5395.0,8174.0,-5864.0
37,2021-12-07,55978.0,31881.0,21176.0,5777.0,15125.0,23998.0,52783.0,50951.0,3195.0,5028.0,-8873.0,10705.0
38,2021-11-30,49713.0,30465.0,20064.0,1533.0,14616.0,23690.0,46614.0,45287.0,3100.0,4426.0,-9074.0,10401.0
39,2021-11-23,44633.0,27835.0,14004.0,1150.0,11039.0,25803.0,40024.0,40957.0,4609.0,3676.0,-14764.0,13831.0
40,2021-11-16,43076.0,26388.0,12433.0,1340.0,10423.0,25918.0,38151.0,39691.0,4925.0,3384.0,-15495.0,13955.0
41,2021-11-09,43527.0,25312.0,12455.0,1296.0,11501.0,26625.0,38109.0,40377.0,5418.0,3150.0,-15124.0,12857.0
42,2021-11-02,45569.0,27504.0,13719.0,1406.0,10753.0,27310.0,39664.0,42435.0,5905.0,3134.0,-16557.0,13785.0
43,2021-10-26,43185.0,24490.0,15652.0,1467.0,11402.0,22800.0,37359.0,39920.0,5826.0,3265.0,-11398.0,8838.0
44,2021-10-19,37805.0,21004.0,14632.0,902.0,11260.0,18793.0,33166.0,34327.0,4639.0,3478.0,-7533.0,6372.0
45,2021-10-12,37363.0,20467.0,11739.0,642.0,12600.0,20737.0,33708.0,33118.0,3654.0,4244.0,-8137.0,8728.0
46,2021-10-05,35890.0,17887.0,9857.0,685.0,13609.0,21475.0,32182.0,32017.0,3709.0,3873.0,-7866.0,8030.0
