,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,163761.0,47997.0,53267.0,21923.0,68235.0,72555.0,138155.0,147744.0,25606.0,16017.0,-4320.0,-5270.0
1,2022-08-16,163698.0,47514.0,44203.0,26918.0,63865.0,76772.0,138297.0,147894.0,25401.0,15804.0,-12907.0,3311.0
2,2022-08-09,160670.0,48378.0,45728.0,25047.0,60885.0,75147.0,134310.0,145922.0,26360.0,14748.0,-14262.0,2650.0
3,2022-08-02,154698.0,48995.0,48475.0,21850.0,59543.0,68952.0,130388.0,139277.0,24310.0,15421.0,-9409.0,520.0
4,2022-07-26,162870.0,53778.0,59558.0,18792.0,66279.0,68289.0,138848.0,146639.0,24022.0,16231.0,-2010.0,-5780.0
5,2022-07-19,165200.0,54477.0,55154.0,23436.0,63875.0,70534.0,141788.0,149124.0,23413.0,16076.0,-6659.0,-677.0
6,2022-07-12,161144.0,53212.0,51967.0,21274.0,63096.0,71212.0,137581.0,144452.0,23563.0,16692.0,-8116.0,1245.0
7,2022-07-05,158141.0,53511.0,50229.0,19302.0,60970.0,71220.0,133782.0,140751.0,24359.0,17390.0,-10250.0,3282.0
8,2022-06-28,150547.0,52434.0,42577.0,14700.0,59053.0,76978.0,126187.0,134255.0,24360.0,16291.0,-17925.0,9857.0
9,2022-06-21,167369.0,53997.0,36209.0,25482.0,60933.0,88172.0,140412.0,149863.0,26957.0,17505.0,-27239.0,17788.0
10,2022-06-14,174439.0,56432.0,43808.0,25105.0,66677.0,87955.0,148214.0,156869.0,26225.0,17570.0,-21278.0,12624.0
11,2022-06-07,168914.0,55129.0,38099.0,26255.0,60609.0,88862.0,141993.0,153216.0,26922.0,15699.0,-28253.0,17030.0
12,2022-05-31,166187.0,55400.0,42133.0,22370.0,61918.0,85750.0,139688.0,150253.0,26499.0,15934.0,-23832.0,13267.0
13,2022-05-24,170599.0,57095.0,45577.0,23771.0,64359.0,85940.0,145225.0,155288.0,25374.0,15311.0,-21581.0,11518.0
