,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,3332723.0,229355.0,448915.0,798998.0,2024312.0,1729116.0,3052665.0,2977029.0,280058.0,355694.0,295196.0,-219560.0
1,2022-08-16,3418926.0,233033.0,493702.0,843372.0,2066172.0,1729650.0,3142577.0,3066725.0,276349.0,352201.0,336522.0,-260669.0
2,2022-08-09,3251743.0,233452.0,449891.0,753212.0,2001979.0,1711472.0,2988644.0,2914576.0,263099.0,337168.0,290507.0,-216439.0
3,2022-08-02,3251421.0,243071.0,437756.0,743604.0,2001208.0,1737547.0,2987882.0,2918906.0,263539.0,332515.0,263661.0,-194685.0
4,2022-07-26,3215055.0,247374.0,461568.0,700000.0,2005825.0,1734384.0,2953198.0,2895952.0,261857.0,319103.0,271441.0,-214194.0
5,2022-07-19,3196490.0,255785.0,447001.0,684897.0,1989887.0,1738748.0,2930569.0,2870645.0,265922.0,325845.0,251139.0,-191216.0
6,2022-07-12,3261108.0,230810.0,419638.0,726485.0,2028782.0,1805543.0,2986077.0,2951667.0,275031.0,309442.0,223239.0,-188828.0
7,2022-07-05,3209362.0,247494.0,413067.0,680916.0,2010457.0,1805459.0,2938868.0,2899443.0,270494.0,309919.0,204998.0,-165573.0
8,2022-06-28,3239020.0,255738.0,383289.0,747166.0,1966137.0,1811812.0,2969041.0,2942267.0,269979.0,296753.0,154325.0,-127551.0
9,2022-06-21,3302951.0,304330.0,414733.0,773084.0,1952854.0,1816638.0,3030269.0,3004455.0,272681.0,298495.0,136216.0,-110403.0
10,2022-06-14,4017923.0,404287.0,359990.0,1110500.0,2164357.0,2203641.0,3679144.0,3674131.0,338779.0,343792.0,-39284.0,44297.0
11,2022-06-07,3187103.0,345064.0,336671.0,711863.0,1852282.0,1821739.0,2909209.0,2870273.0,277894.0,316830.0,30543.0,8393.0
12,2022-05-31,3183403.0,355383.0,313239.0,705332.0,1841737.0,1857707.0,2902451.0,2876277.0,280952.0,307126.0,-15970.0,42144.0
13,2022-05-24,3301162.0,369205.0,312526.0,800823.0,1839968.0,1878146.0,3009996.0,2991494.0,291166.0,309668.0,-38178.0,56679.0
