,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,57757.0,49383.0,14264.0,1291.0,1887.0,39508.0,52561.0,55063.0,5195.0,2694.0,-37621.0,35119.0
1,2022-08-16,59036.0,50833.0,12865.0,1240.0,2095.0,42771.0,54167.0,56876.0,4868.0,2160.0,-40676.0,37968.0
2,2022-08-09,59766.0,50783.0,12148.0,1376.0,2100.0,44193.0,54258.0,57717.0,5507.0,2049.0,-42093.0,38635.0
3,2022-08-02,57197.0,47960.0,8624.0,1241.0,2843.0,44985.0,52043.0,54850.0,5154.0,2347.0,-42142.0,39336.0
4,2022-07-26,60601.0,51381.0,10850.0,1442.0,2515.0,45827.0,55338.0,58119.0,5263.0,2482.0,-43312.0,40531.0
5,2022-07-19,59329.0,50265.0,11194.0,1075.0,2880.0,44390.0,54219.0,56659.0,5110.0,2670.0,-41510.0,39071.0
6,2022-07-12,59703.0,51149.0,12796.0,827.0,2312.0,43220.0,54287.0,56843.0,5416.0,2860.0,-40908.0,38353.0
7,2022-07-05,61026.0,52924.0,13722.0,997.0,2048.0,43551.0,55969.0,58269.0,5057.0,2757.0,-41503.0,39202.0
8,2022-06-28,63304.0,54633.0,11442.0,855.0,2363.0,48910.0,57851.0,61207.0,5452.0,2096.0,-46547.0,43191.0
9,2022-06-21,58706.0,51575.0,6604.0,868.0,1698.0,48434.0,54141.0,55906.0,4566.0,2801.0,-46736.0,44971.0
10,2022-06-14,61327.0,53111.0,8676.0,840.0,1774.0,49501.0,55725.0,59017.0,5601.0,2310.0,-47727.0,44435.0
11,2022-06-07,65292.0,55473.0,17566.0,1895.0,2107.0,43962.0,59475.0,63423.0,5817.0,1869.0,-41855.0,37907.0
12,2022-05-31,64017.0,54888.0,17374.0,1106.0,2375.0,43705.0,58369.0,62185.0,5648.0,1832.0,-41330.0,37514.0
13,2022-05-24,61989.0,53688.0,15685.0,992.0,2186.0,43055.0,56866.0,59733.0,5123.0,2257.0,-40869.0,38003.0
14,2022-05-17,62016.0,53537.0,17358.0,855.0,2122.0,41631.0,56514.0,59844.0,5502.0,2172.0,-39509.0,36179.0
15,2022-05-10,57679.0,49885.0,15148.0,915.0,1853.0,39028.0,52653.0,55092.0,5026.0,2587.0,-37175.0,34737.0
16,2022-05-03,54195.0,46284.0,13250.0,1119.0,1463.0,37134.0,48866.0,51503.0,5328.0,2692.0,-35671.0,33034.0
17,2022-04-26,56775.0,49687.0,15835.0,852.0,1391.0,37964.0,51930.0,54652.0,4845.0,2124.0,-36573.0,33852.0
18,2022-04-19,54579.0,46690.0,14137.0,874.0,1792.0,37679.0,49356.0,52690.0,5223.0,1889.0,-35887.0,32553.0
19,2022-04-12,54879.0,44303.0,14683.0,917.0,1236.0,37278.0,46456.0,52878.0,8424.0,2002.0,-36042.0,29620.0
20,2022-04-05,49101.0,41038.0,9218.0,1360.0,1433.0,36618.0,43831.0,47195.0,5270.0,1906.0,-35185.0,31820.0
21,2022-03-29,54024.0,44970.0,14064.0,1832.0,1518.0,36603.0,48319.0,52500.0,5705.0,1525.0,-35085.0,30906.0
22,2022-03-22,52014.0,43561.0,13964.0,1306.0,1692.0,35190.0,46558.0,50460.0,5456.0,1554.0,-33498.0,29597.0
23,2022-03-15,47633.0,39767.0,11422.0,1127.0,1481.0,33426.0,42375.0,45975.0,5257.0,1658.0,-31945.0,28345.0
24,2022-03-08,62505.0,46031.0,12021.0,2827.0,7991.0,45857.0,56849.0,60705.0,5656.0,1800.0,-37866.0,34010.0
25,2022-03-01,56828.0,43767.0,9024.0,2231.0,4854.0,44230.0,50852.0,55486.0,5976.0,1343.0,-39376.0,34743.0
26,2022-02-22,55049.0,43730.0,7696.0,1540.0,2789.0,44114.0,48059.0,53351.0,6990.0,1698.0,-41325.0,36034.0
27,2022-02-15,54412.0,42353.0,7018.0,1377.0,2765.0,44269.0,46495.0,52664.0,7917.0,1748.0,-41504.0,35335.0
28,2022-02-08,53727.0,40379.0,6654.0,1296.0,3190.0,43982.0,44865.0,51932.0,8862.0,1795.0,-40792.0,33725.0
29,2022-02-01,56604.0,43906.0,9389.0,1279.0,2194.0,44031.0,47380.0,54700.0,9225.0,1905.0,-41837.0,34517.0
30,2022-01-25,52401.0,41779.0,4949.0,1137.0,1806.0,44287.0,44722.0,50373.0,7678.0,2028.0,-42481.0,36830.0
31,2022-01-18,53355.0,42374.0,5972.0,1066.0,1716.0,44086.0,45156.0,51124.0,8199.0,2230.0,-42370.0,36402.0
32,2022-01-11,57289.0,45876.0,8016.0,1225.0,1774.0,45892.0,48875.0,55133.0,8414.0,2156.0,-44118.0,37860.0
33,2022-01-04,58168.0,47766.0,8709.0,1107.0,1717.0,46415.0,50590.0,56231.0,7578.0,1937.0,-44698.0,39057.0
34,2021-12-28,57982.0,47185.0,10410.0,1194.0,2128.0,44574.0,50507.0,56178.0,7476.0,1804.0,-42446.0,36775.0
35,2021-12-21,56282.0,46245.0,11131.0,1181.0,1965.0,42295.0,49391.0,54607.0,6891.0,1676.0,-40330.0,35114.0
36,2021-12-14,52267.0,42292.0,11024.0,1202.0,1696.0,38338.0,45191.0,50564.0,7076.0,1703.0,-36642.0,31268.0
37,2021-12-07,60109.0,43065.0,8198.0,5563.0,3780.0,43984.0,52408.0,57745.0,7701.0,2364.0,-40204.0,34867.0
38,2021-11-30,52377.0,41966.0,6125.0,2148.0,1676.0,42081.0,45789.0,50354.0,6588.0,2023.0,-40405.0,35841.0
39,2021-11-23,57894.0,47130.0,11404.0,1594.0,1779.0,42889.0,50503.0,55888.0,7392.0,2007.0,-41110.0,35726.0
40,2021-11-16,59563.0,47965.0,13099.0,1915.0,2030.0,42461.0,51909.0,57474.0,7654.0,2089.0,-40431.0,34866.0
41,2021-11-09,57853.0,46521.0,11082.0,1662.0,2138.0,43234.0,50321.0,55978.0,7532.0,1875.0,-41096.0,35439.0
42,2021-11-02,58089.0,45408.0,10444.0,1942.0,1921.0,43967.0,49270.0,56353.0,8819.0,1736.0,-42046.0,34964.0
43,2021-10-26,59084.0,45189.0,10747.0,2501.0,2165.0,44102.0,49855.0,57350.0,9229.0,1734.0,-41937.0,34442.0
44,2021-10-19,60825.0,47568.0,11646.0,2488.0,2112.0,44835.0,52168.0,58969.0,8656.0,1856.0,-42723.0,35922.0
45,2021-10-12,62885.0,49394.0,14355.0,2219.0,2145.0,44826.0,53758.0,61400.0,9127.0,1485.0,-42681.0,35039.0
46,2021-10-05,57229.0,44715.0,12709.0,2062.0,1891.0,40699.0,48668.0,55471.0,8561.0,1758.0,-38808.0,32006.0
47,2021-09-28,55358.0,45054.0,18611.0,1605.0,1579.0,33340.0,48239.0,53557.0,7119.0,1801.0,-31761.0,26443.0
48,2021-09-21,45972.0,36883.0,11805.0,1208.0,868.0,31245.0,38959.0,44258.0,7014.0,1715.0,-30377.0,25078.0
49,2021-09-14,44440.0,34805.0,10561.0,1198.0,1247.0,30995.0,37250.0,42754.0,7190.0,1686.0,-29748.0,24244.0
50,2021-09-07,46396.0,33099.0,11641.0,3629.0,1649.0,28708.0,38377.0,43978.0,8019.0,2418.0,-27059.0,21458.0
51,2021-08-31,48872.0,35902.0,15217.0,3330.0,2098.0,28279.0,41330.0,46826.0,7542.0,2045.0,-26181.0,20685.0
