,Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short,Commercial Net Position,Noncommercial Net Position
0,2022-08-23,2100099.0,361203.0,62777.0,857772.0,792945.0,1119749.0,2011920.0,2040298.0,88179.0,59801.0,-326804.0,298426.0
1,2022-08-16,2218792.0,361267.0,86274.0,907815.0,854802.0,1161410.0,2123885.0,2155499.0,94908.0,63293.0,-306608.0,274993.0
2,2022-08-09,2225415.0,353268.0,83787.0,927737.0,852747.0,1156284.0,2133753.0,2167808.0,91662.0,57607.0,-303537.0,269481.0
3,2022-08-02,2263328.0,377202.0,68024.0,962329.0,834702.0,1169340.0,2174234.0,2199693.0,89094.0,63634.0,-334638.0,309178.0
4,2022-07-26,2245583.0,379308.0,71121.0,958928.0,808354.0,1151172.0,2146590.0,2181221.0,98992.0,64361.0,-342818.0,308187.0
5,2022-07-19,2258645.0,389046.0,64772.0,987931.0,794393.0,1146418.0,2171370.0,2199121.0,87275.0,59524.0,-352025.0,324274.0
6,2022-07-12,2301861.0,390691.0,69374.0,1007125.0,804573.0,1159186.0,2202389.0,2235685.0,99472.0,66175.0,-354613.0,321317.0
7,2022-07-05,2315790.0,407468.0,74542.0,994872.0,816394.0,1178983.0,2218734.0,2248398.0,97056.0,67392.0,-362589.0,332926.0
8,2022-06-28,2361277.0,411424.0,58701.0,1027960.0,824765.0,1211792.0,2264148.0,2298453.0,97130.0,62824.0,-387027.0,352723.0
9,2022-06-21,2358377.0,404131.0,61861.0,1035677.0,815850.0,1199539.0,2255658.0,2297077.0,102719.0,61300.0,-383689.0,342270.0
10,2022-06-14,2528199.0,427340.0,67786.0,1141752.0,850479.0,1255520.0,2419571.0,2465059.0,108628.0,63140.0,-405041.0,359554.0
11,2022-06-07,2608676.0,449572.0,64062.0,1179518.0,867990.0,1301064.0,2497081.0,2544644.0,111595.0,64032.0,-433074.0,385510.0
12,2022-05-31,2546253.0,444949.0,58104.0,1139947.0,854995.0,1289026.0,2439892.0,2487077.0,106362.0,59176.0,-434031.0,386845.0
13,2022-05-24,2417472.0,446099.0,59411.0,1064648.0,805118.0,1237423.0,2315865.0,2361483.0,101607.0,55989.0,-432305.0,386688.0
14,2022-05-17,2432265.0,439939.0,60745.0,1059281.0,829077.0,1252609.0,2328297.0,2372634.0,103968.0,59631.0,-423532.0,379194.0
15,2022-05-10,2614513.0,425343.0,66152.0,1166546.0,914799.0,1324487.0,2506688.0,2557184.0,107825.0,57329.0,-409688.0,359191.0
16,2022-05-03,2629859.0,430759.0,56823.0,1173998.0,917259.0,1342604.0,2522015.0,2573425.0,107844.0,56434.0,-425345.0,373936.0
17,2022-04-26,2606403.0,425549.0,54707.0,1146577.0,930337.0,1350255.0,2502462.0,2551539.0,103940.0,54864.0,-419918.0,370842.0
18,2022-04-19,2600558.0,424321.0,60016.0,1113374.0,953484.0,1367762.0,2491179.0,2541152.0,109379.0,59406.0,-414278.0,364305.0
19,2022-04-12,2704945.0,433082.0,62931.0,1170825.0,987421.0,1410709.0,2591329.0,2644465.0,113616.0,60480.0,-423288.0,370151.0
20,2022-04-05,2735783.0,434478.0,58178.0,1213596.0,977740.0,1406271.0,2625814.0,2678044.0,109969.0,57739.0,-428531.0,376300.0
21,2022-03-29,2687677.0,440952.0,58296.0,1198989.0,943377.0,1373251.0,2583318.0,2630536.0,104359.0,57141.0,-429874.0,382656.0
22,2022-03-22,2714277.0,458338.0,54479.0,1190620.0,962931.0,1412857.0,2611889.0,2657955.0,102387.0,56321.0,-449926.0,403859.0
23,2022-03-15,2796010.0,454112.0,54220.0,1230735.0,1007271.0,1453466.0,2692117.0,2738420.0,103893.0,57590.0,-446195.0,399892.0
24,2022-03-08,2942382.0,486686.0,52728.0,1302611.0,1029796.0,1514739.0,2819092.0,2870077.0,123290.0,72305.0,-484943.0,433958.0
25,2022-03-01,2887830.0,490622.0,61565.0,1257996.0,1018946.0,1494251.0,2767564.0,2813812.0,120266.0,74018.0,-475305.0,429057.0
26,2022-02-22,2814499.0,473139.0,72560.0,1218932.0,1002814.0,1453055.0,2694885.0,2744547.0,119615.0,69952.0,-450241.0,400579.0
27,2022-02-15,2976075.0,485908.0,65140.0,1317514.0,1052076.0,1521271.0,2855497.0,2903924.0,120577.0,72150.0,-469195.0,420768.0
28,2022-02-08,2989273.0,506568.0,70506.0,1322504.0,1036206.0,1525207.0,2865277.0,2918217.0,123996.0,71056.0,-489001.0,436062.0
29,2022-02-01,2856819.0,506076.0,67478.0,1257180.0,976626.0,1465221.0,2739881.0,2789878.0,116938.0,66941.0,-488595.0,438598.0
30,2022-01-25,2816309.0,515949.0,71429.0,1192984.0,992349.0,1488962.0,2701281.0,2753375.0,115028.0,62934.0,-496613.0,444520.0
31,2022-01-18,2745327.0,525415.0,72341.0,1103375.0,997876.0,1496385.0,2626666.0,2672100.0,118661.0,73227.0,-498509.0,453074.0
32,2022-01-11,2642164.0,501453.0,76395.0,1084366.0,949464.0,1413064.0,2535283.0,2573824.0,106881.0,68340.0,-463600.0,425058.0
33,2022-01-04,2489313.0,479708.0,84240.0,990172.0,917090.0,1353216.0,2386970.0,2427628.0,102343.0,61685.0,-436126.0,395468.0
34,2021-12-28,2449377.0,486705.0,85744.0,962142.0,901446.0,1340398.0,2350292.0,2388283.0,99085.0,61094.0,-438952.0,400961.0
35,2021-12-21,2445775.0,493786.0,94088.0,934974.0,919775.0,1360286.0,2348535.0,2389348.0,97240.0,56427.0,-440511.0,399698.0
36,2021-12-14,2566495.0,498276.0,99048.0,1031577.0,933095.0,1377566.0,2462948.0,2508191.0,103547.0,58304.0,-444471.0,399228.0
37,2021-12-07,2587085.0,506472.0,91944.0,1060223.0,920212.0,1374839.0,2486908.0,2527006.0,100177.0,60078.0,-454627.0,414528.0
38,2021-11-30,2609572.0,517326.0,90196.0,1067314.0,890839.0,1373464.0,2475480.0,2530974.0,134092.0,78597.0,-482625.0,427130.0
39,2021-11-23,2585937.0,530223.0,78112.0,1041791.0,903170.0,1408176.0,2475184.0,2528079.0,110753.0,57858.0,-505006.0,452111.0
40,2021-11-16,2577923.0,527856.0,66582.0,1043665.0,890037.0,1411594.0,2461558.0,2521841.0,116365.0,56082.0,-521557.0,461274.0
41,2021-11-09,2958238.0,569710.0,71420.0,1251721.0,1025917.0,1568700.0,2847348.0,2891842.0,110889.0,66396.0,-542783.0,498290.0
42,2021-11-02,2979246.0,562313.0,69674.0,1285190.0,1022094.0,1561562.0,2869597.0,2916425.0,109649.0,62821.0,-539468.0,492639.0
43,2021-10-26,3003997.0,575969.0,76187.0,1297936.0,1014251.0,1566968.0,2888157.0,2941091.0,115840.0,62906.0,-552717.0,499782.0
44,2021-10-19,3031710.0,586625.0,80273.0,1325890.0,1007114.0,1562572.0,2919629.0,2968735.0,112081.0,62975.0,-555458.0,506352.0
45,2021-10-12,3107889.0,571883.0,84713.0,1386122.0,1029527.0,1568332.0,2987532.0,3039167.0,120357.0,68721.0,-538805.0,487170.0
46,2021-10-05,3068134.0,561021.0,77510.0,1369452.0,1019728.0,1550901.0,2950202.0,2997863.0,117932.0,70271.0,-531173.0,483511.0
47,2021-09-28,2908362.0,544950.0,90679.0,1246757.0,1004028.0,1506542.0,2795735.0,2843979.0,112627.0,64384.0,-502514.0,454271.0
48,2021-09-21,2725658.0,520670.0,89654.0,1143906.0,959410.0,1433843.0,2623987.0,2667403.0,101672.0,58255.0,-474433.0,431016.0
49,2021-09-14,2788170.0,522609.0,92226.0,1146179.0,1015243.0,1488579.0,2684032.0,2726985.0,104139.0,61185.0,-473336.0,430383.0
50,2021-09-07,2716599.0,510442.0,91809.0,1120323.0,983270.0,1445013.0,2614036.0,2657145.0,102563.0,59453.0,-461743.0,418633.0
51,2021-08-31,2678939.0,521134.0,95357.0,1113681.0,944966.0,1409456.0,2579781.0,2618494.0,99159.0,60445.0,-464490.0,425777.0
52,2021-08-24,2639390.0,535419.0,91815.0,1103945.0,903883.0,1382084.0,2543247.0,2577843.0,96143.0,61547.0,-478201.0,443604.0
53,2021-08-17,2687835.0,544563.0,78517.0,1124408.0,918567.0,1429618.0,2587538.0,2632543.0,100296.0,55292.0,-511051.0,466046.0
54,2021-08-10,2883409.0,558529.0,81733.0,1213849.0,1002439.0,1528328.0,2774818.0,2823910.0,108591.0,59498.0,-525889.0,476796.0
55,2021-08-03,2988731.0,588879.0,79721.0,1222171.0,1071886.0,1628297.0,2882937.0,2930188.0,105794.0,58543.0,-556411.0,509158.0
56,2021-07-27,2991327.0,608688.0,81997.0,1201547.0,1077511.0,1646353.0,2887746.0,2929897.0,103581.0,61430.0,-568842.0,526691.0
57,2021-07-20,2877094.0,593580.0,73465.0,1183286.0,983913.0,1561018.0,2760780.0,2817769.0,116314.0,59325.0,-577105.0,520115.0
58,2021-07-13,3175110.0,643621.0,67587.0,1303882.0,1104580.0,1732891.0,3052083.0,3104360.0,123027.0,70749.0,-628311.0,576034.0
59,2021-07-06,3127046.0,642000.0,72650.0,1271552.0,1087711.0,1715843.0,3001263.0,3060044.0,125782.0,67001.0,-628132.0,569350.0
60,2021-06-29,3057590.0,671896.0,77431.0,1221066.0,1045810.0,1698194.0,2938772.0,2996690.0,118818.0,60900.0,-652384.0,594465.0
61,2021-06-22,3024558.0,676125.0,86156.0,1214037.0,1018916.0,1661104.0,2909077.0,2961297.0,115481.0,63262.0,-642188.0,589969.0
62,2021-06-15,3213523.0,669318.0,92989.0,1271973.0,1148663.0,1774891.0,3089954.0,3139854.0,123569.0,73669.0,-626228.0,576329.0
63,2021-06-08,3195028.0,661994.0,107145.0,1268307.0,1133702.0,1742564.0,3064003.0,3118015.0,131025.0,77012.0,-608862.0,554849.0
64,2021-06-01,3133433.0,646517.0,108649.0,1239891.0,1125381.0,1720934.0,3011789.0,3069473.0,121644.0,63959.0,-595553.0,537868.0
65,2021-05-25,3018091.0,636998.0,111580.0,1184518.0,1085187.0,1661139.0,2906703.0,2957238.0,111388.0,60853.0,-575952.0,525418.0
66,2021-05-18,3021413.0,625058.0,104266.0,1165128.0,1117781.0,1697456.0,2907967.0,2966850.0,113446.0,54564.0,-579675.0,520792.0
67,2021-05-11,3158691.0,652860.0,111269.0,1230650.0,1153047.0,1756038.0,3036557.0,3097957.0,122134.0,60734.0,-602991.0,541591.0
68,2021-05-04,3126812.0,662720.0,117020.0,1211544.0,1128120.0,1730864.0,3002384.0,3059428.0,124428.0,67385.0,-602744.0,545700.0
69,2021-04-27,3004034.0,654289.0,120318.0,1127996.0,1105444.0,1692262.0,2887729.0,2940576.0,116306.0,63459.0,-586818.0,533971.0
70,2021-04-20,2975633.0,656810.0,113591.0,1118783.0,1086315.0,1679370.0,2861908.0,2911745.0,113725.0,63888.0,-593055.0,543219.0
71,2021-04-13,2942320.0,645593.0,111807.0,1118357.0,1060883.0,1647149.0,2824833.0,2877313.0,117488.0,65007.0,-586266.0,533786.0
72,2021-04-06,2979615.0,655327.0,99968.0,1171496.0,1038003.0,1645818.0,2864826.0,2917282.0,114789.0,62333.0,-607815.0,555359.0
73,2021-03-30,2964842.0,675494.0,100588.0,1160995.0,1016449.0,1639856.0,2852938.0,2901439.0,111904.0,63403.0,-623407.0,574906.0
74,2021-03-23,2934021.0,681647.0,115762.0,1118078.0,1015209.0,1637440.0,2814935.0,2871281.0,119086.0,62740.0,-622231.0,565885.0
75,2021-03-16,3236873.0,686345.0,111651.0,1329843.0,1099364.0,1728485.0,3115551.0,3169978.0,121321.0,66895.0,-629121.0,574694.0
76,2021-03-09,3170497.0,694278.0,108132.0,1282158.0,1069095.0,1712734.0,3045530.0,3103024.0,124967.0,67474.0,-643639.0,586146.0
77,2021-03-02,3085766.0,679884.0,120884.0,1240331.0,1046666.0,1665051.0,2966881.0,3026266.0,118885.0,59499.0,-618385.0,559000.0
78,2021-02-23,3036384.0,688551.0,129752.0,1175399.0,1055890.0,1673877.0,2919840.0,2979028.0,116544.0,57355.0,-617987.0,558799.0
79,2021-02-16,3143537.0,693547.0,131921.0,1236356.0,1091780.0,1712471.0,3021683.0,3080748.0,121854.0,62789.0,-620691.0,561626.0
